,TESTO DELLA DOMANDA,TESTO,DIVISIONE STRALCIO JUNIOR,DENOMINAZIONE
0,Come descriverebbe un trattamento efficace?,"un bello spazio con uffici per personale di trattamento, abbastanza 
collaborazione con centri o istituti o associazioni. all_esterno, possibilità 
di reinserimenti con cure eccetera eccetera e posibilità di","un bello spazio con uffici per personale di trattamento, abbastanza 
collaborazione con centri o istituti o associazioni. all_esterno, possibilità 
di reinserimenti con cure eccetera eccetera e posibilità di",COMMENTO
1,Come descriverebbe un trattamento efficace?,"assistenz_psichiatri 
assistenza_fisica c' è 
assistenza_sociale che manca","assistenz_psichiatri 
assistenza_fisica c' è 
assistenza_sociale che manca",PRESCRIZIONE
2,Come descriverebbe un trattamento efficace?,"il trattamento più_efficace sarebbe di dare loro più tempo da occupare come ad_esempio (lavoro, scuola, attività fisica, eccetera eccetera)",il trattamento più_efficace sarebbe di dare loro più tempo da occupare,PRESCRIZIONE
3,Come descriverebbe un trattamento efficace?,,"come ad_esempio (lavoro, scuola, attività fisica, eccetera eccetera)",SPECIFICAZIONE
4,Come descriverebbe un trattamento efficace?,"un_trattamento quello di occupare la popolazione detenuta nel_lavoro 
interno o esterno alla_struttura","un_trattamento quello di occupare la popolazione detenuta nel_lavoro 
interno o esterno alla_struttura",PRESCRIZIONE
5,Come descriverebbe un trattamento efficace?,"quello_che_riesce a offrire_al_detenuto degli_strumenti conoscitivi, 
competenze e opportunità usufruibili nella vita esterna 
","quello_che_riesce a offrire_al_detenuto degli_strumenti conoscitivi, 
competenze e opportunità usufruibili nella vita esterna 
",RIFERIMENTO ALL'OBIETTIVO
6,Come descriverebbe un trattamento efficace?,quello che tiene_conto della specificità della persona a_cui si rivolge,quello che tiene_conto della specificità della persona a_cui si rivolge,GENERALIZZAZIONE
7,Come descriverebbe un trattamento efficace?,normalissimo,normalissimo,NON RISPOSTA
8,Come descriverebbe un trattamento efficace?,"impegnare il detenuto al lavoro per inserirlo nella_società. questo 
funziona solo con chi ha sbagliato ma non con chi ha l' indole a 
delinquere sempre
","impegnare il detenuto al lavoro per inserirlo nella_società. questo 
funziona solo con chi ha sbagliato ma non con chi ha l' indole a 
delinquere sempre
",CONTRAPPOSIZIONE
9,Come descriverebbe un trattamento efficace?,"possibilità, quindi avendo più strumenti e risorse, di avere_più colloqui con il detenuto per conoscerlo meglio, poter conoscere il suo ambiente di 
provenienza (attraverso la collaborazione con l' ambasciata e /o il servizio sociale internazionale eccetera eccetera) e poi poter attivare, dentro o fuori l' istituto, gli interventi più idonei","possibilità, quindi avendo più strumenti e risorse, di avere_più colloqui con il detenuto per conoscerlo meglio, poter conoscere il suo ambiente di 
provenienza (attraverso la collaborazione con l' ambasciata e /o il servizio sociale internazionale eccetera eccetera) e poi poter attivare, dentro o fuori l' istituto, gli interventi più idonei",COMMENTO
