,TESTO DELLA DOMANDA,REPERTORIO DELLA DOMANDA,STRALCIO,DENOMINAZIONE SENIOR,DENOMINAZIONE JUNIOR
0,Come descriverebbe un trattamento efficace?,DESCRIZIONE,"un bello spazio con uffici per personale di trattamento, abbastanza 
collaborazione con centri o istituti o associazioni. all_esterno, possibilità 
di reinserimenti con cure eccetera eccetera e posibilità di",GIUDIZIO,COMMENTO
1,Come descriverebbe un trattamento efficace?,DESCRIZIONE,"assistenz_psichiatri 
assistenza_fisica c' è 
assistenza_sociale che manca",GIUDIZIO,PRESCRIZIONE
2,Come descriverebbe un trattamento efficace?,DESCRIZIONE,il trattamento più_efficace sarebbe di dare loro più tempo da occupare,PRESCRIZIONE,PRESCRIZIONE
3,Come descriverebbe un trattamento efficace?,DESCRIZIONE,"come ad_esempio (lavoro, scuola, attività fisica, eccetera eccetera)",PRESCRIZIONE,SPECIFICAZIONE
4,Come descriverebbe un trattamento efficace?,DESCRIZIONE,"un_trattamento quello di occupare la popolazione detenuta nel_lavoro 
interno o esterno alla_struttura",DESCRIZIONE,PRESCRIZIONE
5,Come descriverebbe un trattamento efficace?,DESCRIZIONE,"quello_che_riesce a offrire_al_detenuto degli_strumenti conoscitivi, 
competenze e opportunità usufruibili nella vita esterna 
",RIFERIMENTO ALL'OBIETTIVO,RIFERIMENTO ALL'OBIETTIVO
6,Come descriverebbe un trattamento efficace?,DESCRIZIONE,quello che tiene_conto della specificità della persona a_cui si rivolge,sancire,GENERALIZZAZIONE
7,Come descriverebbe un trattamento efficace?,DESCRIZIONE,normalissimo,NON RISPOSTA,NON RISPOSTA
8,Come descriverebbe un trattamento efficace?,DESCRIZIONE,"impegnare il detenuto al lavoro per inserirlo nella_società. questo 
funziona solo con chi ha sbagliato ma non con chi ha l' indole a 
delinquere sempre
",CONTRAPPOSIZIONE,CONTRAPPOSIZIONE
9,Come descriverebbe un trattamento efficace?,DESCRIZIONE,"possibilità, quindi avendo più strumenti e risorse, di avere_più colloqui con il detenuto per conoscerlo meglio, poter conoscere il suo ambiente di 
provenienza (attraverso la collaborazione con l' ambasciata e /o il servizio sociale internazionale eccetera eccetera) e poi poter attivare, dentro o fuori l' istituto, gli interventi più idonei",CONTRAPPOSIZIONE,COMMENTO
10,Come descriverebbe un trattamento efficace?,DESCRIZIONE,"in_grado_di rispondere_ai_bisogn primari dell' utente, di soddisfare le sue 
esigenze di reinserimento_social e di prevenire eventuali ricadute in 
comportamenti antisociali. 
",GIUDIZIO,PRESCRIZIONE
11,Come descriverebbe un trattamento efficace?,DESCRIZIONE,utile_per_la_popolaz detenuta,GIUDIZIO,GENERALIZZAZIONE
12,Come descriverebbe un trattamento efficace?,DESCRIZIONE,"un_elemento necessario ed utile_al_reinserimen dei detenuti 
nella_vita_sociale
",GIUDIZIO,OPINIONE
13,Come descriverebbe un trattamento efficace?,DESCRIZIONE,"per avere un trattamento efficace bisogna avere delle_strutture adeguate ai detenuti ristretti
",VALUTAZIONE,COMMENTO
14,Come descriverebbe un trattamento efficace?,DESCRIZIONE,"capace di dare inizio ad un processo di rivisitazione critica del vissuto 
deviante; che permetta l' espressione delle potenzialità positive insite 
nel_soggetto e valorizzarle; capace di produrre un cambiamento di 
atteggiamento e di comportamento; capace di ricucire la frattura sociale 
dovuta alla commissione del reato
",GIUDIZIO,VALUTAZIONE
15,Come descriverebbe un trattamento efficace?,DESCRIZIONE,il detenuto non delinqua più,sancire,PREVISIONE
16,Come descriverebbe un trattamento efficace?,DESCRIZIONE,un_trattamento dia almeno il 50% dei_risultati positivi,GIUDIZIO,PREVISIONE
