,TESTO DELLA DOMANDA,TESTO,DIVISIONE STRALCI SENIOR,DENOMINAZIONE
0,Come descriverebbe un trattamento efficace?,"un bello spazio con uffici per personale di trattamento, abbastanza 
collaborazione con centri o istituti o associazioni. all_esterno, possibilità 
di reinserimenti con cure eccetera eccetera e posibilità di",,GIUDIZIO
1,Come descriverebbe un trattamento efficace?,"assistenz_psichiatri 
assistenza_fisica c' è 
assistenza_sociale che manca",,GIUDIZIO
2,Come descriverebbe un trattamento efficace?,"il trattamento più_efficace sarebbe di dare loro più tempo da occupare come ad_esempio (lavoro, scuola, attività fisica, eccetera eccetera)","il trattamento più_efficace sarebbe di dare loro più tempo da occupare come ad_esempio (lavoro, scuola, attività fisica, eccetera eccetera)",PRESCRIZIONE
3,Come descriverebbe un trattamento efficace?,,,
4,Come descriverebbe un trattamento efficace?,"un_trattamento quello di occupare la popolazione detenuta nel_lavoro 
interno o esterno alla_struttura",,DESCRIZIONE
5,Come descriverebbe un trattamento efficace?,"quello_che_riesce a offrire_al_detenuto degli_strumenti conoscitivi, 
competenze e opportunità usufruibili nella vita esterna 
",,RIFERIMENTO ALL'OBIETTIVO
6,Come descriverebbe un trattamento efficace?,quello che tiene_conto della specificità della persona a_cui si rivolge,,SANCIRE LA REALTÀ
7,Come descriverebbe un trattamento efficace?,normalissimo,,NON RISPOSTA
8,Come descriverebbe un trattamento efficace?,"impegnare il detenuto al lavoro per inserirlo nella_società. questo 
funziona solo con chi ha sbagliato ma non con chi ha l' indole a 
delinquere sempre
",,CONTRAPPOSIZIONE
9,Come descriverebbe un trattamento efficace?,"possibilità, quindi avendo più strumenti e risorse, di avere_più colloqui con il detenuto per conoscerlo meglio, poter conoscere il suo ambiente di 
provenienza (attraverso la collaborazione con l' ambasciata e /o il servizio sociale internazionale eccetera eccetera) e poi poter attivare, dentro o fuori l' istituto, gli interventi più idonei","possibilità, quindi avendo più strumenti e risorse, di avere_più colloqui con il detenuto per conoscerlo meglio,",CONTRAPPOSIZIONE
10,Come descriverebbe un trattamento efficace?,,"poter conoscere il suo ambiente di 
provenienza",DESCRIZIONE
11,Come descriverebbe un trattamento efficace?,,"(attraverso la collaborazione con l' ambasciata e /o il servizio 
sociale internazionale eccetera eccetera)",SPECIFICAZIONE
12,Come descriverebbe un trattamento efficace?,,"e poi poter attivare, dentro o fuori l' istituto, gli interventi più idonei",DESCRIZIONE
13,Come descriverebbe un trattamento efficace?,"in_grado_di rispondere_ai_bisogn primari dell' utente, di soddisfare le sue 
esigenze di reinserimento_social e di prevenire eventuali ricadute in 
comportamenti antisociali. 
",,GIUDIZIO
14,Come descriverebbe un trattamento efficace?,utile_per_la_popolaz detenuta,,GIUDIZIO
15,Come descriverebbe un trattamento efficace?,"un_elemento necessario ed utile_al_reinserimen dei detenuti 
nella_vita_sociale
",,GIUDIZIO
16,Come descriverebbe un trattamento efficace?,per avere un trattamento efficace bisogna avere delle_strutture adeguate ai detenuti ristretti,,VALUTAZIONE
17,Come descriverebbe un trattamento efficace?,"capace di dare inizio ad un processo di rivisitazione critica del vissuto 
deviante; che permetta l' espressione delle potenzialità positive insite 
nel_soggetto e valorizzarle; capace di produrre un cambiamento di 
atteggiamento e di comportamento; capace di ricucire la frattura sociale 
dovuta alla commissione del reato
",,GIUDIZIO
18,Come descriverebbe un trattamento efficace?,il detenuto non delinqua più,,SANCIRE LA REALTÀ
19,Come descriverebbe un trattamento efficace?,un_trattamento dia almeno il 50% dei_risultati positivi,,GIUDIZIO
20,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,importante,,GIUDIZIO
21,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,lavorare all-int dell' istituto,,DESCRIZIONE
22,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,la-conosco xche-ho-usuf di questa-opport di trattam-ried,,DESCRIZIONE
23,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,tr-l-educ,,DESCRIZIONE
24,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,l-interno dell' istituto,,GENERALIZZAZIONE
25,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,non-ho-capito,,GIUSTIFICAZIONE
26,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,quando-ero-malato,,GENERALIZZAZIONE
27,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,attr la perman in-carc,,GENERALIZZAZIONE
28,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,attr la prec-perman in-carc,,GENERALIZZAZIONE
29,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,tr noi-stessi,,DESCRIZIONE
30,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,dallo-scritto,,GENERALIZZAZIONE
31,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,dalle-lettere e dagli-altri-deten,,DESCRIZIONE
32,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"prima parlo con l' assist-sociale, e tutti qui-in-prig dicono che x-stran-e-imposs","prima parlo con l' assist-sociale, e tutti qui-in-prig dicono che x-stran-e-imposs",DERESPONSABILIZZAZIONE
33,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,,,
34,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,dalle-lettere e dagli amici-di-un-altro,,DESCRIZIONE
35,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,"non-vedendoc-ben, ho-segnato tut-cio-si-dov-fa per il reinserimento di queste-pers; io perslmente, in-3anni-7mesi parlo-sol-cn-m-fam al telefono, dato che, per la situazione in cui si-trovano tutti i miei parenti, non-poss-ven-trov",,DESCRIZIONE
36,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,,,NON RISPOSTA
37,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,,,NON RISPOSTA
38,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,ho-av-l-info di-trattam-rieduc con-la-scuola e fatto con la speranza che mi-aiuta,,DESCRIZIONE
39,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,,,POSSIBILITÀ
40,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,in una maniera-positiva,,GIUDIZIO
41,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,le opport sono-tante per il trattam-rieduc la prigione uccide-l-anima interiormente la prigione uccide-l-anima interiormente,,GIUDIZIO
42,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,,la prigione uccide-l-anima interiormente se non ha ness in-partic-se-stran ,CAUSA
43,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,,,CAUSA
44,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,non-e-cosi-buono,,NON RISPOSTA
