TESTO DELLA DOMANDA,REPERTORIO DELLA DOMANDA,STRALCIO,DENOMINAZIONE SENIOR,DENOMINAZIONE JUNIOR
Come descriverebbe un trattamento efficace?,DESCRIZIONE,"un bello spazio con uffici per personale di trattamento, abbastanza 
collaborazione con centri o istituti o associazioni. all_esterno, possibilità 
di reinserimenti con cure eccetera eccetera e posibilità di",GIUDIZIO,COMMENTO
Come descriverebbe un trattamento efficace?,DESCRIZIONE,"assistenz_psichiatri 
assistenza_fisica c' è 
assistenza_sociale che manca",GIUDIZIO,PRESCRIZIONE
Come descriverebbe un trattamento efficace?,DESCRIZIONE,il trattamento più_efficace sarebbe di dare loro più tempo da occupare,PRESCRIZIONE,PRESCRIZIONE
Come descriverebbe un trattamento efficace?,DESCRIZIONE,"come ad_esempio (lavoro, scuola, attività fisica, eccetera eccetera)",PRESCRIZIONE,SPECIFICAZIONE
Come descriverebbe un trattamento efficace?,DESCRIZIONE,"un_trattamento quello di occupare la popolazione detenuta nel_lavoro 
interno o esterno alla_struttura",DESCRIZIONE,PRESCRIZIONE
Come descriverebbe un trattamento efficace?,DESCRIZIONE,"quello_che_riesce a offrire_al_detenuto degli_strumenti conoscitivi, 
competenze e opportunità usufruibili nella vita esterna 
",RIFERIMENTO ALL'OBIETTIVO,RIFERIMENTO ALL'OBIETTIVO
Come descriverebbe un trattamento efficace?,DESCRIZIONE,quello che tiene_conto della specificità della persona a_cui si rivolge,sancire,GENERALIZZAZIONE
Come descriverebbe un trattamento efficace?,DESCRIZIONE,normalissimo,NON RISPOSTA,NON RISPOSTA
Come descriverebbe un trattamento efficace?,DESCRIZIONE,"impegnare il detenuto al lavoro per inserirlo nella_società. questo 
funziona solo con chi ha sbagliato ma non con chi ha l' indole a 
delinquere sempre
",CONTRAPPOSIZIONE,CONTRAPPOSIZIONE
Come descriverebbe un trattamento efficace?,DESCRIZIONE,"possibilità, quindi avendo più strumenti e risorse, di avere_più colloqui con il detenuto per conoscerlo meglio, poter conoscere il suo ambiente di 
provenienza (attraverso la collaborazione con l' ambasciata e /o il servizio sociale internazionale eccetera eccetera) e poi poter attivare, dentro o fuori l' istituto, gli interventi più idonei",CONTRAPPOSIZIONE,COMMENTO
Come descriverebbe un trattamento efficace?,DESCRIZIONE,"in_grado_di rispondere_ai_bisogn primari dell' utente, di soddisfare le sue 
esigenze di reinserimento_social e di prevenire eventuali ricadute in 
comportamenti antisociali. 
",GIUDIZIO,PRESCRIZIONE
Come descriverebbe un trattamento efficace?,DESCRIZIONE,utile_per_la_popolaz detenuta,GIUDIZIO,GENERALIZZAZIONE
Come descriverebbe un trattamento efficace?,DESCRIZIONE,"un_elemento necessario ed utile_al_reinserimen dei detenuti 
nella_vita_sociale
",GIUDIZIO,OPINIONE
Come descriverebbe un trattamento efficace?,DESCRIZIONE,"per avere un trattamento efficace bisogna avere delle_strutture adeguate ai detenuti ristretti
",VALUTAZIONE,COMMENTO
Come descriverebbe un trattamento efficace?,DESCRIZIONE,"capace di dare inizio ad un processo di rivisitazione critica del vissuto 
deviante; che permetta l' espressione delle potenzialità positive insite 
nel_soggetto e valorizzarle; capace di produrre un cambiamento di 
atteggiamento e di comportamento; capace di ricucire la frattura sociale 
dovuta alla commissione del reato
",GIUDIZIO,VALUTAZIONE
Come descriverebbe un trattamento efficace?,DESCRIZIONE,il detenuto non delinqua più,sancire,PREVISIONE
Come descriverebbe un trattamento efficace?,DESCRIZIONE,un_trattamento dia almeno il 50% dei_risultati positivi,GIUDIZIO,PREVISIONE
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,importante,GIUDIZIO,GIUDIZIO
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,lavorare all-int dell' istituto,DESCRIZIONE,NON RISPOSTA
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,la-conosco xche-ho-usuf di questa-opport di trattam-ried,DESCRIZIONE,DESCRIZIONE
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,tr-l-educ,DESCRIZIONE,DESCRIZIONE
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,l-interno dell' istituto,GENERALIZZAZIONE,DESCRIZIONE
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,non-ho-capito,GIUSTIFICAZIONE,DERESPONSABILIZZAZIONE
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,quando-ero-malato,GENERALIZZAZIONE,NON RISPOSTA
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,attr la perman in-carc,GENERALIZZAZIONE,DESCRIZIONE
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,attr la prec-perman in-carc,GENERALIZZAZIONE,DESCRIZIONE
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,tr noi-stessi,DESCRIZIONE,DESCRIZIONE
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,dallo-scritto,GENERALIZZAZIONE,DESCRIZIONE
Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,dalle-lettere e dagli-altri-deten,DESCRIZIONE,DESCRIZIONE
