,index,Unnamed: 0,Question,QRep,Answer,Rep,Skill,Dataset,p,MacroCat,text,label,label2,is_valid,set_tag,is_test
0,0,0,Come ti descriverai una volta uscito dal carcere?,Descrizione,felice,giudizio,J,Mix,"('red', 3, 1)",red,felice,red,giudizio,True,2,True
1,1,1,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,Descrizione,è normale,giudizio,J,Mix,"('red', 3, 1)",red,è normale,red,giudizio,True,2,True
2,2,2,"Se la risposta data alla domanda precedente è per nulla efficaci/poco efficaci o efficaci/molto efficaci, ci potrebbe indicare le ragioni della sua scelta?",Descrizione,"per tirarti su di morale e starti pi—
vicino
",descrizione,J,Mix,"('green', 0, 1)",green,"per tirarti su di morale e starti pi—
vicino
",green,descrizione,True,2,True
3,3,3,Come ti descriveresti prima di entrare in carcere?,Descrizione,"sono pacifico , ma le circostanze sono difficili così sono intrappolato tra il bene e il_male prima_di questo arresto pensavo di uscire dall' italia perché è cambiata in peggio ma anche lo straniero è cambiato per il peggio e auguro che trovano una vera soluzione a_questo dilemma ma",contrapposizione,J,Mix,"('red', 6, 4)",red,"sono pacifico , ma le circostanze sono difficili così sono intrappolato tra il bene e il_male prima_di questo arresto pensavo di uscire dall' italia perché è cambiata in peggio ma anche lo straniero è cambiato per il peggio e auguro che trovano una vera soluzione a_questo dilemma ma",red,contrapposizione,True,2,True
4,4,4,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,Descrizione,descrivo la persona lo stesso reato imputato che è pazzo,giudizio,J,Mix,"('red', 3, 1)",red,descrivo la persona lo stesso reato imputato che è pazzo,red,giudizio,True,2,True
5,5,5,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena, quali elementi prenderebbe in considerazione",Descrizione,"la cucina_detenuti, acqua_calda, ogni_qt_si_può_acced alla doccia, verificare_la_grandezza_delle_celle, se_si_svolgono_attività_sportive, se_ci_sono_scuole elementare-medie-superiori e università, se_si_possono_effettuare_colloqui con i propri_familiari in una area_verde etc…sanità corsi_professionali.",sancire,J,Mix,"('red', 1, 0)",red,"la cucina_detenuti, acqua_calda, ogni_qt_si_può_acced alla doccia, verificare_la_grandezza_delle_celle, se_si_svolgono_attività_sportive, se_ci_sono_scuole elementare-medie-superiori e università, se_si_possono_effettuare_colloqui con i propri_familiari in una area_verde etc…sanità corsi_professionali.",red,sancire,True,2,True
6,6,6,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,Descrizione,o un criminale,giudizio,J,Mix,"('red', 3, 1)",red,o un criminale,red,giudizio,True,2,True
7,7,7,Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena quali elementi prenderebbe in considerazione?,Descrizione,maggior contatti_esterno,giudizio,J,Mix,"('red', 3, 1)",red,maggior contatti_esterno,red,giudizio,True,2,True
8,8,8,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,Descrizione,"lo-so perche lo-sto-vivendo 
",sancire,J,Mix,"('red', 1, 0)",red,"lo-so perche lo-sto-vivendo 
",red,sancire,True,2,True
9,9,9,"In quanto persona straniera detenuta, come pensa che un operatore dell’area socio-sanitaria di sesso diverso dal suo la descriverebbe?",Descrizione,un-pane-per-loro,generalizzazione,J,Mix,"('red', 3, 1)",red,un-pane-per-loro,red,generalizzazione,True,2,True
10,10,10,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un Istituto di pena, quali elementi prenderebbe in considerazione ?",Descrizione,"per_me che ho problemi di stupefacenti prenderei in 
considerazione gli operatori, gli psicologi, la disponibilità degli 
agenti",sancire,J,Mix,"('red', 1, 0)",red,"per_me che ho problemi di stupefacenti prenderei in 
considerazione gli operatori, gli psicologi, la disponibilità degli 
agenti",red,sancire,True,2,True
11,11,11,"Se la risposta data alla domanda precedente è per nulla efficaci/poco efficaci o efficaci/molto efficaci, ci potrebbe indicare le ragioni della sua scelta?",Descrizione,"perch‚ il_tratt_rieducativo e essenziale
in_carcere
",generalizzazione,J,Mix,"('red', 3, 1)",red,"perch‚ il_tratt_rieducativo e essenziale
in_carcere
",red,generalizzazione,True,2,True
12,12,12,Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena quali elementi prenderebbe in considerazione?,Descrizione,corsi_professionali;,sancire,J,Mix,"('red', 1, 0)",red,corsi_professionali;,red,sancire,True,2,True
13,13,13,Come ti descriveresti prima di entrare in carcere?,Descrizione,una_persona che fa una vita semplicissima che va a lavorare e torna con la moglie una_persona felicissima non avrò mai_pensato di finire_in_carcere,giustificazione,J,Mix,"('red', 4, 1)",red,una_persona che fa una vita semplicissima che va a lavorare e torna con la moglie una_persona felicissima non avrò mai_pensato di finire_in_carcere,red,giustificazione,True,2,True
14,14,14,"Come si descrive come consumatore di sostanze legali (ad esempio alcol, psicofarmaci)?",Descrizione,una_persona incosciente e debole_di_personalità,giudizio,J,Mix,"('red', 3, 1)",red,una_persona incosciente e debole_di_personalità,red,giudizio,True,2,True
15,15,15,"Secondo lei, quali altre iniziative
potrebbero facilitare l’integrazione fra la popolazione detenuta italiana e straniera?",Descrizione,come fare sport e organizzare tra_noi cose che potrebbero aiutarci,specificazione,J,Mix,"('yellow', 1, 1)",yellow,come fare sport e organizzare tra_noi cose che potrebbero aiutarci,yellow,specificazione,True,2,True
16,16,16,Immagini di essere stato trasferito in un nuovo Istituto di pena. Dopo alcuni giorni dal suo arrivo pensa: “la popolazione detenuta italiana e straniera di questo Istituto è integrata”. Che cosa le permette di pensarlo?,Descrizione,il fatto di vedere la popolazione mista e che dividono compiti tipo: lavori ed altro,valutazione,J,Mix,"('yellow', 5, 5)",yellow,il fatto di vedere la popolazione mista e che dividono compiti tipo: lavori ed altro,yellow,valutazione,True,2,True
17,17,17,"In quanto persona straniera detenuta, come pensa che un operatore dell’area socio-sanitaria di sesso diverso dal suo la descriverebbe?",Descrizione,questa E una-cosa semplice,commento,J,Mix,"('red', 3, 1)",red,questa E una-cosa semplice,red,commento,True,2,True
18,18,18,"In quanto persona straniera detenuta, come pensa che un operatore dell’area socio-sanitaria di sesso diverso dal suo la descriverebbe?",Descrizione,"che E-obbligato e pagat-x-assisterm nel-caso-di-bisogno 
",commento,J,Mix,"('red', 3, 1)",red,"che E-obbligato e pagat-x-assisterm nel-caso-di-bisogno 
",red,commento,True,2,True
19,19,19,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,Descrizione,non-ho-l-info,sancire,J,Mix,"('red', 1, 0)",red,non-ho-l-info,red,sancire,True,2,True
20,20,20,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un Istituto di pena, quali elementi prenderebbe in considerazione ?",Descrizione,migliorare il cibo,commento,J,Mix,"('red', 3, 1)",red,migliorare il cibo,red,commento,True,2,True
21,21,21,come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona detenuta?,Descrizione,lavoro e scuola e imparare qualche mestiere,descrizione,J,Mix,"('green', 0, 1)",green,lavoro e scuola e imparare qualche mestiere,green,descrizione,True,2,True
22,22,22,"In quanto persona straniera detenuta, come pensa che un operatore dell’area socio-sanitaria di sesso diverso dal suo la descriverebbe?",Descrizione,"non-vedo nessuna-ambiguita , E un cosa-normale 
",commento,J,Mix,"('red', 3, 1)",red,"non-vedo nessuna-ambiguita , E un cosa-normale 
",red,commento,True,2,True
23,23,23,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un Istituto di pena, quali elementi prenderebbe in considerazione ?",Descrizione,il cibo; i costi_della_spesa; lo spazio; la ricreazione; l' igiene,giudizio,J,Mix,"('red', 3, 1)",red,il cibo; i costi_della_spesa; lo spazio; la ricreazione; l' igiene,red,giudizio,True,2,True
24,24,24,Come ti descriverai una volta uscito dal carcere?,Descrizione,mi_descrivo normale ,giudizio,J,Mix,"('red', 3, 1)",red,mi_descrivo normale ,red,giudizio,True,2,True
25,25,25,"In quanto persona straniera detenuta, come pensa che un operatore dell’area socio-sanitaria di sesso diverso dal suo la descriverebbe?",Descrizione,"direi 1-persona corretta e che si-impegna nelle sue-cose 
",giudizio,J,Mix,"('red', 3, 1)",red,"direi 1-persona corretta e che si-impegna nelle sue-cose 
",red,giudizio,True,2,True
26,26,26,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere una persona Detenuta?,Descrizione,"buone,
",contrapposizione,J,Mix,"('red', 6, 4)",red,"buone,
",red,contrapposizione,True,2,True
27,27,27,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,Descrizione,dagli-altri-deten,descrizione,J,Mix,"('green', 0, 1)",green,dagli-altri-deten,green,descrizione,True,2,True
28,28,28,Come descriverebbe una persona che “gode di salute”?,Descrizione,Non è solo un discorso di cura e medicine.,sancire,J,Mix,"('red', 1, 0)",red,Non è solo un discorso di cura e medicine.,red,sancire,True,2,True
29,29,29,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un Istituto di pena, quali elementi prenderebbe in considerazione ?",Descrizione,"assistenza_sociale. 
assistenza volontaria.",sancire,J,Mix,"('red', 1, 0)",red,"assistenza_sociale. 
assistenza volontaria.",red,sancire,True,2,True
30,30,30,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,Descrizione,la so questa domanda,non_risposta,J,Mix,"('red', 3, 1)",red,la so questa domanda,red,non_risposta,True,2,True
31,31,31,Come ti descriveresti prima di entrare in carcere?,Descrizione,non puo esserci collaborazione_tra_operatori,descrizione,J,Mix,"('green', 0, 1)",green,non puo esserci collaborazione_tra_operatori,green,descrizione,True,2,True
32,32,32,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,Descrizione,tr-deten,descrizione,J,Mix,"('green', 0, 1)",green,tr-deten,green,descrizione,True,2,True
33,33,33,Come ti descriveresti prima di entrare in carcere?,Descrizione,ho_avuto è la_prima_volta_che entro_in_prigione perché nel_mio_paese non_ho precedenti giudiziari,commento,J,Mix,"('red', 3, 1)",red,ho_avuto è la_prima_volta_che entro_in_prigione perché nel_mio_paese non_ho precedenti giudiziari,red,commento,True,2,True
34,34,34,Come descriverebbe una persona che “gode di salute”?,Descrizione,in equilibrio psicofisico,giudizio,J,Mix,"('red', 3, 1)",red,in equilibrio psicofisico,red,giudizio,True,2,True
35,35,35,Come ti descriveresti prima di entrare in carcere?,Descrizione,"ero molto diverso , ma adesso mi_dispiace , spero di cambiarmi per_bene",generalizzazione,J,Mix,"('red', 3, 1)",red,"ero molto diverso , ma adesso mi_dispiace , spero di cambiarmi per_bene",red,generalizzazione,True,2,True
36,36,36,Immagini di essere stato trasferito in un nuovo Istituto di pena. Dopo alcuni giorni dal suo arrivo pensa: “la popolazione detenuta italiana e straniera di questo Istituto è integrata”. Che cosa le permette di pensarlo?,Descrizione,dal rispetto,descrizione,J,Mix,"('green', 0, 1)",green,dal rispetto,green,descrizione,True,2,True
37,37,37,Quali sono le azioni che vengono intraprese per la presa in carico della persona straniera detenuta tenendo anche in considerazione l’attività svolta dai ser.t?,Descrizione,tenere conto della_religione abitudini usanze,commento,J,Mix,"('red', 3, 1)",red,tenere conto della_religione abitudini usanze,red,commento,True,2,True
38,38,38,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,Descrizione,l-interno dell' istituto,generalizzazione,J,Mix,"('red', 3, 1)",red,l-interno dell' istituto,red,generalizzazione,True,2,True
39,39,39,"Secondo lei, quali altre iniziative
potrebbero facilitare l’integrazione fra la popolazione detenuta italiana e straniera?",Descrizione,è solo una facciata,commento,J,Mix,"('red', 3, 1)",red,è solo una facciata,red,commento,True,2,True
40,40,40,"In quanto persona straniera detenuta, come pensa che un operatore dell’area socio-sanitaria di sesso diverso dal suo la descriverebbe?",Descrizione,normale,giudizio,J,Mix,"('red', 3, 1)",red,normale,red,giudizio,True,2,True
41,41,41,Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena quali elementi prenderebbe in considerazione?,Descrizione,turni di lavoro,sancire,J,Mix,"('red', 1, 0)",red,turni di lavoro,red,sancire,True,2,True
42,42,42,"Come si descrive come consumatore di sostanze legali (ad esempio alcol, psicofarmaci)?",Descrizione,"052) i problemi_familiari, la manc_lavoro_fisso e i documenti_italiani che camb_perc_vita",generalizzazione,J,Mix,"('red', 3, 1)",red,"052) i problemi_familiari, la manc_lavoro_fisso e i documenti_italiani che camb_perc_vita",red,generalizzazione,True,2,True
43,43,43,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,Descrizione,"giuro che sono vittima, sono qui a pagare per mio fratello perché egli è scappato in marocco, lavoravo nell'edilizia e quando sono tornato dal lavoro sono stato condannato a 5 anni e 4 mesi",commento,J,Mix,"('red', 3, 1)",red,"giuro che sono vittima, sono qui a pagare per mio fratello perché egli è scappato in marocco, lavoravo nell'edilizia e quando sono tornato dal lavoro sono stato condannato a 5 anni e 4 mesi",red,commento,True,2,True
44,44,44,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,Descrizione,ma che poi se ne pentirà,previsione,J,Mix,"('red', 5, 4)",red,ma che poi se ne pentirà,red,previsione,True,2,True
45,45,45,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,Descrizione,"ruba anche lei per sopravvivere,",giustificazione,J,Mix,"('red', 4, 1)",red,"ruba anche lei per sopravvivere,",red,giustificazione,True,2,True
