,index,Unnamed: 0,Question,QRep,Answer,Rep,Skill,Dataset,p,MacroCat,text,label,label2,is_valid,set_tag,is_test
0,0,0,Come descriverebbe un trattamento efficace?,Descrizione,"un bello spazio con uffici per personale di trattamento, abbastanza 
collaborazione con centri o istituti o associazioni. all_esterno, possibilità 
di reinserimenti con cure eccetera eccetera e posibilità di",giudizio,J,Mix,"('red', 3, 1)",red,"un bello spazio con uffici per personale di trattamento, abbastanza 
collaborazione con centri o istituti o associazioni. all_esterno, possibilità 
di reinserimenti con cure eccetera eccetera e posibilità di",red,giudizio,True,2,True
1,1,1,Come descriverebbe un trattamento efficace?,Descrizione,"assistenz_psichiatri 
assistenza_fisica c' è 
assistenza_sociale che manca",giudizio,J,Mix,"('red', 3, 1)",red,"assistenz_psichiatri 
assistenza_fisica c' è 
assistenza_sociale che manca",red,giudizio,True,2,True
2,2,2,Come descriverebbe un trattamento efficace?,Descrizione,il trattamento più_efficace sarebbe di dare loro più tempo da occupare,prescrizione,J,Mix,"('yellow', 4, 4)",yellow,il trattamento più_efficace sarebbe di dare loro più tempo da occupare,yellow,prescrizione,True,2,True
3,3,3,Come descriverebbe un trattamento efficace?,Descrizione,"come ad_esempio (lavoro, scuola, attività fisica, eccetera eccetera)",prescrizione,J,Mix,"('yellow', 4, 4)",yellow,"come ad_esempio (lavoro, scuola, attività fisica, eccetera eccetera)",yellow,prescrizione,True,2,True
4,4,4,Come descriverebbe un trattamento efficace?,Descrizione,"un_trattamento quello di occupare la popolazione detenuta nel_lavoro 
interno o esterno alla_struttura",descrizione,J,Mix,"('green', 0, 1)",green,"un_trattamento quello di occupare la popolazione detenuta nel_lavoro 
interno o esterno alla_struttura",green,descrizione,True,2,True
5,5,5,Come descriverebbe un trattamento efficace?,Descrizione,"quello_che_riesce a offrire_al_detenuto degli_strumenti conoscitivi, 
competenze e opportunità usufruibili nella vita esterna 
",riferimento_obiettivo,J,Mix,"('green', 5, 6)",green,"quello_che_riesce a offrire_al_detenuto degli_strumenti conoscitivi, 
competenze e opportunità usufruibili nella vita esterna 
",green,riferimento_obiettivo,True,2,True
6,6,6,Come descriverebbe un trattamento efficace?,Descrizione,quello che tiene_conto della specificità della persona a_cui si rivolge,sancire,J,Mix,"('red', 1, 0)",red,quello che tiene_conto della specificità della persona a_cui si rivolge,red,sancire,True,2,True
7,7,7,Come descriverebbe un trattamento efficace?,Descrizione,normalissimo,non_risposta,J,Mix,"('red', 3, 1)",red,normalissimo,red,non_risposta,True,2,True
8,8,8,Come descriverebbe un trattamento efficace?,Descrizione,"impegnare il detenuto al lavoro per inserirlo nella_società. questo 
funziona solo con chi ha sbagliato ma non con chi ha l' indole a 
delinquere sempre
",contrapposizione,J,Mix,"('red', 6, 4)",red,"impegnare il detenuto al lavoro per inserirlo nella_società. questo 
funziona solo con chi ha sbagliato ma non con chi ha l' indole a 
delinquere sempre
",red,contrapposizione,True,2,True
9,9,9,Come descriverebbe un trattamento efficace?,Descrizione,"possibilità, quindi avendo più strumenti e risorse, di avere_più colloqui con il detenuto per conoscerlo meglio, poter conoscere il suo ambiente di 
provenienza (attraverso la collaborazione con l' ambasciata e /o il servizio sociale internazionale eccetera eccetera) e poi poter attivare, dentro o fuori l' istituto, gli interventi più idonei",contrapposizione,J,Mix,"('red', 6, 4)",red,"possibilità, quindi avendo più strumenti e risorse, di avere_più colloqui con il detenuto per conoscerlo meglio, poter conoscere il suo ambiente di 
provenienza (attraverso la collaborazione con l' ambasciata e /o il servizio sociale internazionale eccetera eccetera) e poi poter attivare, dentro o fuori l' istituto, gli interventi più idonei",red,contrapposizione,True,2,True
