,Unnamed: 0,Question,Qrep,Answer,Rep,Skill,Dataset,p,MacroCat,text,label,label2,is_valid,set_tag,is_test
0,0,Come descriverebbe il ruolo di Professore di psicologia?,descrizione,lo descriverei come una persona con una mentalità formata nei primi tre anni attraverso cui determina il modo in cui viene svolto il lavoro accademico attualmente,sancire,S,RD,"('red', 1, 0)",red,lo descriverei come una persona con una mentalità formata nei primi tre anni attraverso cui determina il modo in cui viene svolto il lavoro accademico attualmente,red,sancire,True,2,True
1,1,Come descriverebbe l’iter di adozione internazionale?,descrizione,Di avere tanta forza e volontà d’animo perché la strada è difficile e tortuosa.,giustificazione,S,RD,"('red', 4, 1)",red,Di avere tanta forza e volontà d’animo perché la strada è difficile e tortuosa.,red,giustificazione,True,2,True
2,2,Come descriverebbe le interazioni fra Università e città?,descrizione,Forze dell'ordine più presenti.,sancire,S,RD,"('red', 1, 0)",red,Forze dell'ordine più presenti.,red,sancire,True,2,True
3,3,Come descriverebbe gli aspetti critici del territorio e della comunità?,descrizione,La mancanza di una visione strategica sotto il profilo della crescita economica e sociale della città.,sancire,S,RD,"('red', 1, 0)",red,La mancanza di una visione strategica sotto il profilo della crescita economica e sociale della città.,red,sancire,True,2,True
4,4,Come descriverebbe un paziente oncologico operato per neoplasia?,descrizione,Nessuna difficoltà,commento,S,RD,"('red', 3, 1)",red,Nessuna difficoltà,red,commento,True,2,True
5,5,Come descriverebbe una violenza sessuale?,descrizione,Si fa presente che nella casa oltre alla signora Irina,descrizione,S,RD,"('green', 0, 1)",green,Si fa presente che nella casa oltre alla signora Irina,green,descrizione,True,2,True
6,6,Come descriverebbe il terrorismo?,descrizione,Mi pare di aver visto in un qualche grafico che il numero di persone uccise in questi anni da attentati islamici è minore rispetto a quelle che sono morte per il terrorismo italiano o tipo quello irlandese… però questa situazione secondo me sta generando molta paura.,opinione,S,RD,"('red', 5, 3)",red,Mi pare di aver visto in un qualche grafico che il numero di persone uccise in questi anni da attentati islamici è minore rispetto a quelle che sono morte per il terrorismo italiano o tipo quello irlandese… però questa situazione secondo me sta generando molta paura.,red,opinione,True,2,True
7,7,Come descriverebbe le REMS?,descrizione, trovando compromessi che gli permettano il reinserimento in famiglia o sul territorio di appartenenza.,riferimento_obiettivo,S,RD,"('green', 5, 6)",green, trovando compromessi che gli permettano il reinserimento in famiglia o sul territorio di appartenenza.,green,riferimento_obiettivo,True,2,True
8,8,Come descriverebbe una persona con diagnosi di depressione?,descrizione, con grande paura di tutto.,giudizio,S,RD,"('red', 3, 1)",red, con grande paura di tutto.,red,giudizio,True,2,True
9,9,Come descriverebbe un utente dei servizi psichiatrici?,descrizione,penso che non terminerò mai i trattamenti psicoterapeutici,commento,S,RD,"('red', 3, 1)",red,penso che non terminerò mai i trattamenti psicoterapeutici,red,commento,True,2,True
10,10,Come descriverebbe il terrorismo?,descrizione,In quanto le cose non possono cambiare se e soltanto i nostri governanti continuano soltanto a prendere misure di sicurezza senza risolvere il problema alla matrice,sancire,S,RD,"('red', 1, 0)",red,In quanto le cose non possono cambiare se e soltanto i nostri governanti continuano soltanto a prendere misure di sicurezza senza risolvere il problema alla matrice,red,sancire,True,2,True
11,11,Come descriverebbe un paziente oncologico operato per neoplasia?,descrizione, non sarei tranquilla per dare una risposta esatta,giudizio,S,RD,"('red', 3, 1)",red, non sarei tranquilla per dare una risposta esatta,red,giudizio,True,2,True
12,12,Come descriverebbe un paziente oncologico operato per neoplasia?,descrizione, con la pacatezza che gli è tipica,giudizio,S,RD,"('red', 3, 1)",red, con la pacatezza che gli è tipica,red,giudizio,True,2,True
13,13,Come descriverebbe un paziente oncologico operato per neoplasia?,descrizione,Speriamo bene,opinione,S,RD,"('red', 5, 3)",red,Speriamo bene,red,opinione,True,2,True
14,14,Come descriverebbe i possibili interventi clinico-assistenziali?,descrizione,"Per agire su queste implicazioni io ho trovato utile informarmi il più possibile sulle condizioni di mio figlio e sulle sue possibilità ma anche confrontarmi con altre famiglie che hanno o no vissuto questa esperienza perché il confronto mi dà modo di riflettere sul mio modo di agire come genitore e di ""aggiustare il tiro"" quando mi accorgo di seguire la direzione sbagliata.",valutazione,S,RD,"('yellow', 5, 5)",yellow,"Per agire su queste implicazioni io ho trovato utile informarmi il più possibile sulle condizioni di mio figlio e sulle sue possibilità ma anche confrontarmi con altre famiglie che hanno o no vissuto questa esperienza perché il confronto mi dà modo di riflettere sul mio modo di agire come genitore e di ""aggiustare il tiro"" quando mi accorgo di seguire la direzione sbagliata.",yellow,valutazione,True,2,True
15,15,Come descriverebbe una persona con diagnosi di depressione?,descrizione,la persona è triste e depressa.,giudizio,S,RD,"('red', 3, 1)",red,la persona è triste e depressa.,red,giudizio,True,2,True
16,16,Come descriverebbe una persona entro un percorso in REMS?,descrizione,Vita ricca di alti e bassi.,sancire,S,RD,"('red', 1, 0)",red,Vita ricca di alti e bassi.,red,sancire,True,2,True
17,17,Come descriverebbe una persona detenuta?,descrizione, e vivere e accontettarsi di quello che si ha senza cercare di strafare per avere quello che non si può,riferimento_obiettivo,S,RD,"('green', 5, 6)",green, e vivere e accontettarsi di quello che si ha senza cercare di strafare per avere quello che non si può,green,riferimento_obiettivo,True,2,True
18,18,Come descriverebbe un utente dei servizi psichiatrici?,descrizione,non capivano il mio forte disagio all'inizio mi sono stati vicino,commento,S,RD,"('red', 3, 1)",red,non capivano il mio forte disagio all'inizio mi sono stati vicino,red,commento,True,2,True
19,19,Come descriverebbe una persona che si laurea  in psicologia?,descrizione,fortunatamente negli ultimi anni la psicologia si è aperta trasversalmente alle aziende ed alla sanità,possibilita,S,RD,"('yellow', 2, 2)",yellow,fortunatamente negli ultimi anni la psicologia si è aperta trasversalmente alle aziende ed alla sanità,yellow,possibilita,True,2,True
20,20,Come descriverebbe i possibili interventi clinico-assistenziali?,descrizione,Come genitore penso che la cosa migliore sarebbe avere vicino la famiglia e gli amici ma anche avere altri genitori con cui confrontarmi.,sancire,S,RD,"('red', 1, 0)",red,Come genitore penso che la cosa migliore sarebbe avere vicino la famiglia e gli amici ma anche avere altri genitori con cui confrontarmi.,red,sancire,True,2,True
