,index,Text,Label,Question,RepQuestion,TextAll
0,5711,lo descriverei come una persona con una mentalità formata nei primi tre anni attraverso cui determina il modo in cui viene svolto il lavoro accademico attualmente,sancireX26,Come descriverebbe il ruolo di Professore di psicologia?,descrizione,['lo descriverei come una persona con una mentalità formata nei primi tre anni attraverso cui determina il modo in cui viene svolto il lavoro accademico attualmente']
1,1982,"Di avere tanta forza e volontà d’animo perché la strada è difficile e tortuosa. Ed in alcuni casi anche ostruita da tanto menefreghismo. Ma alla fine del tutto la rifaresti tutta anche in condizioni peggiori, ma la rifaresti anche mille e mille volte per l’amore, la gioia le cose belle che ci sono alla fine del viaggio",giustificazioneX14+giudizioX9+previsioneX12+sancireX22,Come descriverebbe l’iter di adozione internazionale?,descrizione,"['Di avere tanta forza e volontà d’animo perché la strada è difficile e tortuosa. ', 'Ed in alcuni casi anche ostruita da tanto menefreghismo. ', 'Ma alla fine del tutto la rifaresti tutta anche in condizioni peggiori, ', 'ma la rifaresti anche mille e mille volte per l’amore, la gioia le cose belle che ci sono alla fine del viaggio']"
2,1332,Normalmente,giudizioX1,Come descriverebbe un paziente oncologico operato per neoplasia?,descrizione,['Normalmente']
3,2896,Forze dell'ordine più presenti. Cittadini comprensivi che pensino a come integrare il tutto piuttosto che lamentarsi solamente,sancireX4+contrapposizioneX13,Come descriverebbe le interazioni fra Università e città?,descrizione,"[""Forze dell'ordine più presenti."", 'Cittadini comprensivi che pensino a come integrare il tutto piuttosto che lamentarsi solamente']"
4,2158,"La mancanza di una visione strategica sotto il profilo della crescita economica e sociale della città. La città manca di una prospettiva di posizionamento, non è chiaro che ruolo voglia avere nel nord - est e come recepisce le trasformazioni a scala sovra locale in atto. Dal punto di vista sociale si assiste ad una vera disintegrazione del tessuto. I giovani sono mediamente poco istruiti ed hanno perso l'intraprendenza e le capacità imprenditoriali della generazione precedente.",sancireX16+valutazioneX30+sancireX13+giudizioX6+confrontoX11,Come descriverebbe gli aspetti critici del territorio e della comunità?,descrizione,"['La mancanza di una visione strategica sotto il profilo della crescita economica e sociale della città. ', ' La città manca di una prospettiva di posizionamento, non è chiaro che ruolo voglia avere nel nord - est e come recepisce le trasformazioni a scala sovra locale in atto.', 'Dal punto di vista sociale si assiste ad una vera disintegrazione del tessuto.', 'I giovani sono mediamente poco istruiti ', ""ed hanno perso l'intraprendenza e le capacità imprenditoriali della generazione precedente.""]"
5,1232,Nessuna difficoltà,commentoX2,Come descriverebbe un paziente oncologico operato per neoplasia?,descrizione,['Nessuna difficoltà']
6,3955,"Si fa presente che nella casa oltre alla signora Irina, invalida civile al 74%, ",descrizioneX14,Come descriverebbe una violenza sessuale?,descrizione,"['Si fa presente che nella casa oltre alla signora Irina, invalida civile al 74%, ']"
7,1780,"Mi pare di aver visto in un qualche grafico che il numero di persone uccise in questi anni da attentati islamici è minore rispetto a quelle che sono morte per il terrorismo italiano o tipo quello irlandese… però questa situazione secondo me sta generando molta paura. La gente un piccolo pensiero se lo fa prima di salire su un aereo o decidere di andare in vacanza nelle grandi capitali europee. Poi ovviamente ci va lo stesso, ma anche non volendo sei comunque condizionato da questo clima. Personalmente, ho notato che gli ultimi attentati stanno suscitando in me sempre meno reazioni emotive: la sera del Bataclan sono rimasta attaccata alla tv, adesso mi dispiaccio molto meno… come se stessi cominciando a considerare “normale” il fatto che prima o poi debbano succedere questi episodi. La cosa che sinceramente continua a stupirmi è che non ci sia ancora stato nulla in Italia, o siamo dei geni dell’intelligence o boh…",opinioneX46+sancireX40+opinioneX70,Come descriverebbe il terrorismo?,descrizione,"['Mi pare di aver visto in un qualche grafico che il numero di persone uccise in questi anni da attentati islamici è minore rispetto a quelle che sono morte per il terrorismo italiano o tipo quello irlandese… però questa situazione secondo me sta generando molta paura. ', 'La gente un piccolo pensiero se lo fa prima di salire su un aereo o decidere di andare in vacanza nelle grandi capitali europee. Poi ovviamente ci va lo stesso, ma anche non volendo sei comunque condizionato da questo clima. ', 'Personalmente, ho notato che gli ultimi attentati stanno suscitando in me sempre meno reazioni emotive: la sera del Bataclan sono rimasta attaccata alla tv, adesso mi dispiaccio molto meno… come se stessi cominciando a considerare “normale” il fatto che prima o poi debbano succedere questi episodi. La cosa che sinceramente continua a stupirmi è che non ci sia ancora stato nulla in Italia, o siamo dei geni dell’intelligence o boh…']"
8,4567,"come una persona indifesa, inutile, incapace di affrontare la routine quotidiana, come una fallita, stanca della vita e di continuare, o cercare di continuare avanti.",giudizioX25,Come descriverebbe una persona con diagnosi di depressione?,descrizione,"['come una persona indifesa, inutile, incapace di affrontare la routine quotidiana, come una fallita, stanca della vita e di continuare, o cercare di continuare avanti.']"
9,3447,"Partire dal paziente, dal tipo di disturbo di cui è affetto, dalla sua consapevolezza di malattia e dalle aspettative, trovando compromessi che gli permettano il reinserimento in famiglia o sul territorio di appartenenza. Importanti sono le riunioni di equipe che permettono il confronto tra noi operatori, dove intervenire, su quale obiettivo lavorare in quel periodo per quel paziente.",descrizioneX19+riferimento_obiettivoX14+specificazioneX25,Come descriverebbe le REMS?,descrizione,"['Partire dal paziente, dal tipo di disturbo di cui è affetto, dalla sua consapevolezza di malattia e dalle aspettative,', 'trovando compromessi che gli permettano il reinserimento in famiglia o sul territorio di appartenenza.', 'Importanti sono le riunioni di equipe che permettono il confronto tra noi operatori, dove intervenire, su quale obiettivo lavorare in quel periodo per quel paziente.']"
