,index,Unnamed: 0,Question,QRep,Answer,Rep,Skill,Dataset,p,MacroCat,text,label,label2,is_valid,set_tag,is_test
0,0,0,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,Descrizione,"perche tanti-di-noi 
hanno le famig qua e non-pens-scappare,",contrapposizione,J,Mix,"('red', 6, 4)",red,"perche tanti-di-noi 
hanno le famig qua e non-pens-scappare,",red,contrapposizione,True,2,True
1,1,1,Immagini di essere stato trasferito in un nuovo Istituto di pena. Dopo alcuni giorni dal suo arrivo pensa: “la popolazione detenuta italiana e straniera di questo Istituto è integrata”. Che cosa le permette di pensarlo?,Descrizione,non riesco a dare una risposta perché pochi giorni non bastano per dare un giudizio sull' integrazione,giustificazione,J,Mix,"('red', 4, 1)",red,non riesco a dare una risposta perché pochi giorni non bastano per dare un giudizio sull' integrazione,red,giustificazione,True,2,True
2,2,2,Come ti descriveresti prima di entrare in carcere?,Descrizione,abbastanza responsabile,descrizione,J,Mix,"('green', 0, 1)",green,abbastanza responsabile,green,descrizione,True,2,True
3,3,3,Come ti descriveresti prima di entrare in carcere?,Descrizione,super,descrizione,J,Mix,"('green', 0, 1)",green,super,green,descrizione,True,2,True
4,4,4,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,Descrizione,"direi che è un malvivente, anche se io sono pur essendo innocente, anche se sono albanese",contrapposizione,J,Mix,"('red', 6, 4)",red,"direi che è un malvivente, anche se io sono pur essendo innocente, anche se sono albanese",red,contrapposizione,True,2,True
5,5,5,"In quanto persona straniera detenuta, come pensa che un operatore dell’area socio-sanitaria di sesso diverso dal suo la descriverebbe?",Descrizione,che E-1-brava-persona,giudizio,J,Mix,"('red', 3, 1)",red,che E-1-brava-persona,red,giudizio,True,2,True
6,6,6,Come ti descriveresti prima di entrare in carcere?,Descrizione,"ero_tranquillo e contento , adesso questi ci fanno impazzire e ci prendono in_giro",contrapposizione,J,Mix,"('red', 6, 4)",red,"ero_tranquillo e contento , adesso questi ci fanno impazzire e ci prendono in_giro",red,contrapposizione,True,2,True
7,7,7,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,Descrizione,che mi ha permesso di fare qualche prova su mie capacita,specificazione,J,Mix,"('yellow', 1, 1)",yellow,che mi ha permesso di fare qualche prova su mie capacita,yellow,specificazione,True,2,True
8,8,8,Come ti descriveresti prima di entrare in carcere?,Descrizione,un_bravo_ragazzo,descrizione,J,Mix,"('green', 0, 1)",green,un_bravo_ragazzo,green,descrizione,True,2,True
9,9,9,"Secondo lei, quali altre iniziative
potrebbero facilitare l’integrazione fra la popolazione detenuta italiana e straniera?",Descrizione,si potrebbe offrire anche alle italiane di apprendere qualche lingua_straniera per poterci meglio comprendere,possibilita,J,Mix,"('yellow', 2, 2)",yellow,si potrebbe offrire anche alle italiane di apprendere qualche lingua_straniera per poterci meglio comprendere,yellow,possibilita,True,2,True
10,10,10,Immagini di essere stato trasferito in un nuovo Istituto di pena. Dopo alcuni giorni dal suo arrivo pensa: “la popolazione detenuta italiana e straniera di questo Istituto è integrata”. Che cosa le permette di pensarlo?,Descrizione,perché quando si va all'aria guarda se le italiane e le straniere si parlano,descrizione,J,Mix,"('green', 0, 1)",green,perché quando si va all'aria guarda se le italiane e le straniere si parlano,green,descrizione,True,2,True
11,11,11,Come si descriverebbe come persona straniera detenuta,Descrizione,emarginata,giudizio,J,Mix,"('red', 3, 1)",red,emarginata,red,giudizio,True,2,True
12,12,12,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un Istituto di pena, quali elementi prenderebbe in considerazione ?",Descrizione,"la disciplina 
l' ordine 
rispetto umanitario",sancire,J,Mix,"('red', 1, 0)",red,"la disciplina 
l' ordine 
rispetto umanitario",red,sancire,True,2,True
13,13,13,Come descriverebbe una persona che “gode di salute”?,Descrizione,salute può essere intesa come benessere fisico e benessere morale,generalizzazione,J,Mix,"('red', 3, 1)",red,salute può essere intesa come benessere fisico e benessere morale,red,generalizzazione,True,2,True
