,Unnamed: 0,Question,QRep,Answer,Rep,Skill,Dataset,p,MacroCat,text,label,label2,is_valid,set_tag,is_test
0,0,Come descriverebbe una persona che “gode di salute”?,Descrizione,persona che mantiene un corretto e adeguato equilibrio psicofisico,giudizio,J,Mix,"('red', 3, 1)",red,persona che mantiene un corretto e adeguato equilibrio psicofisico,red,giudizio,False,0,False
1,1,"Secondo lei, quali altre iniziative
potrebbero facilitare l’integrazione fra la popolazione detenuta italiana e straniera?",Descrizione,operatori capaci di facilitare l' incontro tra le due comunità detenute,giudizio,J,Mix,"('red', 3, 1)",red,operatori capaci di facilitare l' incontro tra le due comunità detenute,red,giudizio,False,0,False
2,2,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena, quali elementi prenderebbe in considerazione",Descrizione,essendo nuovo dell' ambiente che perlomeno per quello che ho potuto vedere funziona_quasi_tutto senza alcun tipo di problema. ho chiamato e subito sono arrivati al primo problema fisico,opinione,J,Mix,"('red', 5, 3)",red,essendo nuovo dell' ambiente che perlomeno per quello che ho potuto vedere funziona_quasi_tutto senza alcun tipo di problema. ho chiamato e subito sono arrivati al primo problema fisico,red,opinione,False,0,False
3,3,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un Istituto di pena, quali elementi prenderebbe in considerazione ?",Descrizione,invece dei centralini istallare telefoni pubblici nelle varie sezioni;,giudizio,J,Mix,"('red', 3, 1)",red,invece dei centralini istallare telefoni pubblici nelle varie sezioni;,red,giudizio,False,0,False
4,4,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,Descrizione,prima distar tutto ha sbagliato commettendo questo reato,sancire,J,Mix,"('red', 1, 0)",red,prima distar tutto ha sbagliato commettendo questo reato,red,sancire,False,0,False
5,5,Immagini di essere stato trasferito in un nuovo Istituto di pena. Dopo alcuni giorni dal suo arrivo pensa: “la popolazione detenuta italiana e straniera di questo Istituto è integrata”. Che cosa le permette di pensarlo?,Descrizione,vivo più sereno per dove_sono,non_risposta,J,Mix,"('red', 3, 1)",red,vivo più sereno per dove_sono,red,non_risposta,True,1,False
6,6,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,Descrizione,sfortunato,giudizio,J,Mix,"('red', 3, 1)",red,sfortunato,red,giudizio,False,0,False
7,7,come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona detenuta?,Descrizione,brutta,giudizio,J,Mix,"('red', 3, 1)",red,brutta,red,giudizio,False,0,False
8,8,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,Descrizione,"positivissime,",valutazione,J,Mix,"('yellow', 5, 5)",yellow,"positivissime,",yellow,valutazione,False,0,False
9,9,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,Descrizione,io la descriverei come una persona ha mai avuto la no fortuna della sua parte,sancire,J,Mix,"('red', 1, 0)",red,io la descriverei come una persona ha mai avuto la no fortuna della sua parte,red,sancire,False,0,False
10,10,Come ti descriveresti prima di entrare in carcere?,Descrizione,calma equilibrata,descrizione,J,Mix,"('green', 0, 1)",green,calma equilibrata,green,descrizione,False,0,False
11,11,"Se la risposta data alla domanda precedente è per nulla efficaci/poco efficaci o efficaci/molto efficaci, ci potrebbe indicare le ragioni della sua scelta?",Descrizione,"per l' integrazione delle persone in
societ…
",generalizzazione,J,Mix,"('red', 3, 1)",red,"per l' integrazione delle persone in
societ…
",red,generalizzazione,False,0,False
12,12,"Per sviluppare le competenze che il suo ruolo richiede, in che modo l’Amministrazione Penitenziaria fornisce occasioni che reputa efficaci rispetto agli obiettivi e alle competenze previste dal suo ruolo?",Descrizione,"anche_se questi corsi intervengono di_fatto dopo la 
formazione diretta sul_campo, sono pertanto strumenti di riflessione",ridimensionamento,J,Mix,"('red',1,0)",red,"anche_se questi corsi intervengono di_fatto dopo la 
formazione diretta sul_campo, sono pertanto strumenti di riflessione",red,ridimensionamento,False,0,False
13,13,Come descriverebbe una persona che “gode di salute”?,Descrizione,atletica attiva,giudizio,J,Mix,"('red', 3, 1)",red,atletica attiva,red,giudizio,False,0,False
14,14,"In quanto persona straniera detenuta, come pensa che un operatore dell’area socio-sanitaria di sesso diverso dal suo la descriverebbe?",Descrizione,fanno-semp-lor-lav,generalizzazione,J,Mix,"('red', 3, 1)",red,fanno-semp-lor-lav,red,generalizzazione,False,0,False
15,15,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere una persona Detenuta?,Descrizione,"il detenuto dopo una selezione , puo svolgere qualsiasi tipo di_attivita sia lavorativa che di hobbistica e sportiva .",descrizione,J,Mix,"('green', 0, 1)",green,"il detenuto dopo una selezione , puo svolgere qualsiasi tipo di_attivita sia lavorativa che di hobbistica e sportiva .",green,descrizione,False,0,False
16,16,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,Descrizione,seguo-la-scuola,descrizione,J,Mix,"('green', 0, 1)",green,seguo-la-scuola,green,descrizione,False,0,False
17,17,Immagini di essere stato trasferito in un nuovo Istituto di pena. Dopo alcuni giorni dal suo arrivo pensa: “la popolazione detenuta italiana e straniera di questo Istituto è integrata”. Che cosa le permette di pensarlo?,Descrizione,"prima di dare un giudizio, preferisco conoscerla la situazione ",giustificazione,J,Mix,"('red', 4, 1)",red,"prima di dare un giudizio, preferisco conoscerla la situazione ",red,giustificazione,False,0,False
18,18,Come ti descriveresti prima di entrare in carcere?,Descrizione,"teoricamente sta girando questa idea, ma nella pratica si stanno facendo 
passi indietro verso una netta separazione tra custodia e trattamento 
",confronto,J,Mix,"('red', 6, 4)",red,"teoricamente sta girando questa idea, ma nella pratica si stanno facendo 
passi indietro verso una netta separazione tra custodia e trattamento 
",red,confronto,False,0,False
19,19,Quali sono le azioni che vengono intraprese per la presa in carico della persona straniera detenuta tenendo anche in considerazione l’attività svolta dai ser.t?,Descrizione,"contat_sert_appart 
iniziale contatto_com_tera 
",descrizione,J,Mix,"('green', 0, 1)",green,"contat_sert_appart 
iniziale contatto_com_tera 
",green,descrizione,False,0,False
20,20,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,Descrizione,cattivo,giudizio,J,Mix,"('red', 3, 1)",red,cattivo,red,giudizio,False,0,False
21,21,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,Descrizione,che è un'ingiustizia,commento,J,Mix,"('red', 3, 1)",red,che è un'ingiustizia,red,commento,False,0,False
