,index,Unnamed: 0,Question,QRep,Answer,Rep,Skill,Dataset,p,MacroCat,text,label,label2,is_valid,set_tag,is_test
0,13243,13243,"Il testo come descrive le manifestazioni in ambiente scolastico (interazione con i coetanei, interazione con gli insegnanti, rendimento scolastico) di un alunno con disturbo da deficit attentivo/iperattività? ",Descrizione,"I bambini con ADHD vengono descritti dai loro compagni come non cooperativi in situazioni di gruppo, intrusivi e in alcuni casi aggressivi e provocatorI, ",sancire,J,Mix,"('red', 1, 0)",red,"I bambini con ADHD vengono descritti dai loro compagni come non cooperativi in situazioni di gruppo, intrusivi e in alcuni casi aggressivi e provocatorI, ",red,sancire,True,2,True
1,8405,8405,Come descriverebbe una violenza sessuale?,Descrizione,l’ultimo dei quali è stato interrotto il 16/3 c.a. a causa della sua attuale detenzione.,causa,J,Mix,"('red', 2, 1)",red,l’ultimo dei quali è stato interrotto il 16/3 c.a. a causa della sua attuale detenzione.,red,causa,True,2,True
2,13212,13212,Il testo come descrive le caratteristiche cliniche del disturbo da deficit dell’attenzione/iperattività?,Descrizione,"(ad esempio un bambino di 9 anni può affermare di aver bisogno di 15 km di corda per fare un'altalena appesa ad un albero, o dichiarare di poter svolgere 20 operazioni in colonna in 2 minutI)",conferma,J,Mix,"('red', 2, 1)",red,"(ad esempio un bambino di 9 anni può affermare di aver bisogno di 15 km di corda per fare un'altalena appesa ad un albero, o dichiarare di poter svolgere 20 operazioni in colonna in 2 minutI)",red,conferma,True,2,True
3,764,764,Come descriverebbe i possibili interventi clinico-assistenziali?,Descrizione,L'iter clinico è stato complesso nei primi anni di vita nel senso che ha subito 3 interventi in 3 anni di vita.,valutazione,J,Mix,"('yellow', 5, 5)",yellow,L'iter clinico è stato complesso nei primi anni di vita nel senso che ha subito 3 interventi in 3 anni di vita.,yellow,valutazione,True,2,True
4,7995,7995,Come descriverebbe una violenza sessuale?,Descrizione,La donna è separata dal marito il quale non contribuisce minimamente al mantenimento del bambino.,sancire,J,Mix,"('red', 1, 0)",red,La donna è separata dal marito il quale non contribuisce minimamente al mantenimento del bambino.,red,sancire,True,2,True
5,5022,5022,Come descriverebbe un abitante di Padova?,Descrizione,"Una cittadina che presta volontariamente il proprio servizio per la propria comunità di riferimento, mettendosi all'ascolto dei cittadini e trasmettendo le loro proposte e istanze all'amministrazione comunale; nel contempo con il ruolo di diramare alla cittadinanza le iniziative/lavori promossi dal Comune nel quartiere",descrizione,J,Mix,"('green', 0, 1)",green,"Una cittadina che presta volontariamente il proprio servizio per la propria comunità di riferimento, mettendosi all'ascolto dei cittadini e trasmettendo le loro proposte e istanze all'amministrazione comunale; nel contempo con il ruolo di diramare alla cittadinanza le iniziative/lavori promossi dal Comune nel quartiere",green,descrizione,True,2,True
6,12116,12116,Come descriverebbe un utente dei servizi psichiatrici?,Descrizione,una persona che riesce a relazionarsi affettivamente in modo equilibrato,giudizio,J,Mix,"('red', 3, 1)",red,una persona che riesce a relazionarsi affettivamente in modo equilibrato,red,giudizio,True,2,True
7,11631,11631,Come descriverebbe un utente dei servizi psichiatrici?,Descrizione,accetta di aver bisogno di aiuto,sancire,J,Mix,"('red', 1, 0)",red,accetta di aver bisogno di aiuto,red,sancire,True,2,True
8,4309,4309,Come descriverebbe una persona che ha perso un proprio conoscente per suicidio?,Descrizione,"si descriverebbe “morta” per sempre, privata a vita di qualcosa e marchiata a vita di un pensiero che aleggerà per sempre dentro di sé, quello del “non aver potuto far niente”. ",sancire,J,Mix,"('red', 1, 0)",red,"si descriverebbe “morta” per sempre, privata a vita di qualcosa e marchiata a vita di un pensiero che aleggerà per sempre dentro di sé, quello del “non aver potuto far niente”. ",red,sancire,True,2,True
9,5881,5881,"Ora, a fronte dell'entrata in REMS, come descriverebbe se stesso e la sua vita?",Descrizione,"Io ho un'invalidità al 100% + accompagno, ma non posso fare affidamento a questi soldi per vivere una vita dignitosa,",sancire,J,Mix,"('red', 1, 0)",red,"Io ho un'invalidità al 100% + accompagno, ma non posso fare affidamento a questi soldi per vivere una vita dignitosa,",red,sancire,True,2,True
10,4719,4719,Come descriverebbe il luogo in cui abita?,Descrizione,Il quartiere in cui abito mi piace molto,sancire,J,Mix,"('red', 1, 0)",red,Il quartiere in cui abito mi piace molto,red,sancire,True,2,True
11,7271,7271,Come descriverebbe una violenza sessuale?,Descrizione,Ma allora perchè sento questo sasso sul cuore? ,giudizio,J,Mix,"('red', 3, 1)",red,Ma allora perchè sento questo sasso sul cuore? ,red,giudizio,True,2,True
12,14428,14428,Come viene raccontata la morte per Covid-19 di un utente dalla comunità di utenti del Social? ,Descrizione,Ti capisco benissimo… ,commento,J,Mix,"('red', 3, 1)",red,Ti capisco benissimo… ,red,commento,True,2,True
