,TESTO DELLA DOMANDA,REPERTORIO DELLA DOMANDA,STRALCIO,DENOMINAZIONE SENIOR,DENOMINAZIONE JUNIOR
384,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,"perche tanti-di-noi 
hanno le famig qua e non-pens-scappare,",CONTRAPPOSIZIONE,sancire
4923,Immagini di essere stato trasferito in un nuovo Istituto di pena. Dopo alcuni giorni dal suo arrivo pensa: “la popolazione detenuta italiana e straniera di questo Istituto è integrata”. Che cosa le permette di pensarlo?,DESCRIZIONE,non riesco a dare una risposta perché pochi giorni non bastano per dare un giudizio sull' integrazione,GIUSTIFICAZIONE,GIUSTIFICAZIONE
7349,Come ti descriveresti prima di entrare in carcere?,DESCRIZIONE,abbastanza responsabile,DESCRIZIONE,GIUDIZIO
7329,Come ti descriveresti prima di entrare in carcere?,DESCRIZIONE,super,DESCRIZIONE,GIUDIZIO
3575,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,"direi che è un malvivente, anche se io sono pur essendo innocente, anche se sono albanese",CONTRAPPOSIZIONE,CONTRAPPOSIZIONE
3947,"In quanto persona straniera detenuta, come pensa che un operatore dell’area socio-sanitaria di sesso diverso dal suo la descriverebbe?",DESCRIZIONE,che E-1-brava-persona,GIUDIZIO,GIUDIZIO
7298,Come ti descriveresti prima di entrare in carcere?,DESCRIZIONE,"ero_tranquillo e contento , adesso questi ci fanno impazzire e ci prendono in_giro",CONTRAPPOSIZIONE,GIUDIZIO
726,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,che mi ha permesso di fare qualche prova su mie capacita,SPECIFICAZIONE,SPECIFICAZIONE
7172,Come ti descriveresti prima di entrare in carcere?,DESCRIZIONE,un_bravo_ragazzo,DESCRIZIONE,GIUDIZIO
6893,"Secondo lei, quali altre iniziative
potrebbero facilitare l’integrazione fra la popolazione detenuta italiana e straniera?",OPINIONE,si potrebbe offrire anche alle italiane di apprendere qualche lingua_straniera per poterci meglio comprendere,POSSIBILITÀ,POSSIBILITÀ
4958,Immagini di essere stato trasferito in un nuovo Istituto di pena. Dopo alcuni giorni dal suo arrivo pensa: “la popolazione detenuta italiana e straniera di questo Istituto è integrata”. Che cosa le permette di pensarlo?,DESCRIZIONE,perché quando si va all'aria guarda se le italiane e le straniere si parlano,DESCRIZIONE,IMPLICAZIONI
6393,Come si descriverebbe come persona straniera detenuta,DESCRIZIONE,emarginata,GIUDIZIO,GIUDIZIO
1310,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un Istituto di pena, quali elementi prenderebbe in considerazione ?",VALUTAZIONE,"la disciplina 
l' ordine 
rispetto umanitario",sancire,GIUDIZIO
2819,Come descriverebbe una persona che “gode di salute”?,DESCRIZIONE,salute può essere intesa come benessere fisico e benessere morale,GENERALIZZAZIONE,GENERALIZZAZIONE
1687,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un Istituto di pena, quali elementi prenderebbe in considerazione ?",VALUTAZIONE,"più_tempo all_aria_aperta, non_solo quattro_ore al_giorno 
più_rispetto 
meno_persone per cella",GIUDIZIO,GIUDIZIO
144,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,"senza-te-ne-rend-con. 
con-la-bocca od con-orecchi",sancire,COMMENTO
3887,"In quanto persona straniera detenuta, come pensa che un operatore dell’area socio-sanitaria di sesso diverso dal suo la descriverebbe?",DESCRIZIONE,fa-lavoro-spetta .,sancire,sancire
3139,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,so che è una persona,GENERALIZZAZIONE,GENERALIZZAZIONE
2223,"Come si descrive come consumatore di sostanze legali (ad esempio alcol, psicofarmaci)?",DESCRIZIONE,non consumo,NON RISPOSTA,COMMENTO
3827,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,criminale,GIUDIZIO,GIUDIZIO
5896,Quali sono le azioni che vengono intraprese per la presa in carico della persona straniera detenuta tenendo anche in considerazione l’attività svolta dai ser.t?,DESCRIZIONE,"progr_cura interni all' istituto 
progr_tratt terapeutici socio-riabilitativo 
",DESCRIZIONE,sancire
2595,Come descriverebbe una persona che “gode di salute”?,DESCRIZIONE,"una persona di medicine che si reca pochissimo dal dottore, che riesce a fare sport, eccetera",DESCRIZIONE,DESCRIZIONE
5710,come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona detenuta?,DESCRIZIONE,"mi_sono 
informato su quasi_tutti i sistemi penitenziari dell' 
unione_europea e l' italia Š_quella che risulta essere pi— arretrata riguardo le opportunit…_di trattame_rieducativo ;",CONFERMA,CONFERMA
1000,Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena quali elementi prenderebbe in considerazione?,DESCRIZIONE,"numero_educatori, assistenti_sociali, psicologi, medici, infermieri",sancire,PRESCRIZIONE
512,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,dato-che mi-trovo deten in-un-contesto-div,sancire,GIUDIZIO
908,Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena quali elementi prenderebbe in considerazione?,DESCRIZIONE,insistere per una partecip_scuola,sancire,COMMENTO
4725,"Se la risposta data alla domanda precedente è per nulla efficaci/poco efficaci o efficaci/molto efficaci, ci potrebbe indicare le ragioni della sua scelta?",VALUTAZIONE,"ho_scelto mi_ha_aiutato tanto il lavoro che
ho_fatto
",COMMENTO,COMMENTO
1958,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere una persona Detenuta?,DESCRIZIONE,molto scarse .,GIUDIZIO,GIUDIZIO
2971,Come descriverebbe una persona che “gode di salute”?,DESCRIZIONE,che frequenta i vari corsi e si adopera,DESCRIZIONE,DESCRIZIONE
1588,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un Istituto di pena, quali elementi prenderebbe in considerazione ?",VALUTAZIONE,neanche uno,GIUDIZIO,NON RISPOSTA
505,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,"tr le comp-che-freq queste-attiv 
",DESCRIZIONE,DESCRIZIONE
3612,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,"ogni persona è un mondo,",GIUDIZIO,GIUDIZIO
5903,Quali sono le azioni che vengono intraprese per la presa in carico della persona straniera detenuta tenendo anche in considerazione l’attività svolta dai ser.t?,DESCRIZIONE,di_solito è un passaparola tra detenuti,COMMENTO,COMMENTO
2591,Come descriverebbe una persona che “gode di salute”?,DESCRIZIONE,persona collaborativa,GIUDIZIO,GIUDIZIO
4841,Immagini di essere stato trasferito in un nuovo Istituto di pena. Dopo alcuni giorni dal suo arrivo pensa: “la popolazione detenuta italiana e straniera di questo Istituto è integrata”. Che cosa le permette di pensarlo?,DESCRIZIONE,se vanno molto d'accordo ,DESCRIZIONE,sancire
3982,"In quanto persona straniera detenuta, come pensa che un operatore dell’area socio-sanitaria di sesso diverso dal suo la descriverebbe?",DESCRIZIONE,normale,GIUDIZIO,sancire
1973,Come descriverebbe una persona che è stata condannata per lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,"----032 
non fare ci•_che_ho_fatto io",COMMENTO,NON RISPOSTA
1446,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un Istituto di pena, quali elementi prenderebbe in considerazione ?",VALUTAZIONE,prenderei in_considerazione anche l' attività_sportiva compreso la scuola e gli educatori,GIUDIZIO,DESCRIZIONE
6787,"Secondo lei, quali altre iniziative
potrebbero facilitare l’integrazione fra la popolazione detenuta italiana e straniera?",OPINIONE,fare un incontro assieme in palestra o una partita a_pallone,DESCRIZIONE,DESCRIZIONE
2925,Come descriverebbe una persona che “gode di salute”?,DESCRIZIONE,soddisfatto del luogo in cui è sistemato e dell'ospitalità,GIUDIZIO,GIUDIZIO
248,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,da pers-che-sono-qui da-molto-tempo.,DESCRIZIONE,DESCRIZIONE
3156,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,"e ""se voleva dio di indicarmi la strada giusta e allontanarmi dal peccato amen",COMMENTO,COMMENTO
7269,Come ti descriveresti prima di entrare in carcere?,DESCRIZIONE,normale,DESCRIZIONE,GIUDIZIO
5881,Quali sono le azioni che vengono intraprese per la presa in carico della persona straniera detenuta tenendo anche in considerazione l’attività svolta dai ser.t?,DESCRIZIONE,viene avvisato il consolato se la persona_detenuta è d_accordo,DESCRIZIONE,DESCRIZIONE
262,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,dai-deten-naz-rumen,DESCRIZIONE,DESCRIZIONE
623,"Come si descrive come consumatore di sostanze legali (ad esempio alcol, psicofarmaci)?",DESCRIZIONE,"primo voglio dire la prevenzione meglio della cura,",GENERALIZZAZIONE,RIDIMENSIONAMENTO
5281,Come ti descriveresti prima di entrare in carcere?,DESCRIZIONE,"una_persona , lavoratrice , non problematica , affettuoso , un_padre",DESCRIZIONE,DESCRIZIONE
