,Unnamed: 0,TESTO DELLA DOMANDA,REPERTORIO DELLA DOMANDA,STRALCIO,DENOMINAZIONE SENIOR
6263,6263,Come ti descriverai una volta uscito dal carcere?,DESCRIZIONE,felice,GIUDIZIO
3772,3772,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,è normale,GIUDIZIO
4340,4340,"Se la risposta data alla domanda precedente è per nulla efficaci/poco efficaci o efficaci/molto efficaci, ci potrebbe indicare le ragioni della sua scelta?",VALUTAZIONE,"per tirarti su di morale e starti pi—
vicino
",DESCRIZIONE
7167,7167,Come ti descriveresti prima di entrare in carcere?,DESCRIZIONE,"sono pacifico , ma le circostanze sono difficili così sono intrappolato tra il bene e il_male prima_di questo arresto pensavo di uscire dall' italia perché è cambiata in peggio ma anche lo straniero è cambiato per il peggio e auguro che trovano una vera soluzione a_questo dilemma ma",CONTRAPPOSIZIONE
3529,3529,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,descrivo la persona lo stesso reato imputato che è pazzo,GIUDIZIO
1122,1122,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena, quali elementi prenderebbe in considerazione",VALUTAZIONE,"la cucina_detenuti, acqua_calda, ogni_qt_si_può_acced alla doccia, verificare_la_grandezza_delle_celle, se_si_svolgono_attività_sportive, se_ci_sono_scuole elementare-medie-superiori e università, se_si_possono_effettuare_colloqui con i propri_familiari in una area_verde etc…sanità corsi_professionali.",sancire
3563,3563,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,o un criminale,GIUDIZIO
997,997,Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena quali elementi prenderebbe in considerazione?,DESCRIZIONE,maggior contatti_esterno,GIUDIZIO
87,87,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,"lo-so perche lo-sto-vivendo 
",sancire
4272,4272,"In quanto persona straniera detenuta, come pensa che un operatore dell’area socio-sanitaria di sesso diverso dal suo la descriverebbe?",DESCRIZIONE,un-pane-per-loro,GENERALIZZAZIONE
1747,1747,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un Istituto di pena, quali elementi prenderebbe in considerazione ?",VALUTAZIONE,"per_me che ho problemi di stupefacenti prenderei in 
considerazione gli operatori, gli psicologi, la disponibilità degli 
agenti",sancire
4347,4347,"Se la risposta data alla domanda precedente è per nulla efficaci/poco efficaci o efficaci/molto efficaci, ci potrebbe indicare le ragioni della sua scelta?",VALUTAZIONE,"perch‚ il_tratt_rieducativo e essenziale
in_carcere
",GENERALIZZAZIONE
971,971,Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena quali elementi prenderebbe in considerazione?,DESCRIZIONE,corsi_professionali;,sancire
7047,7047,Come ti descriveresti prima di entrare in carcere?,DESCRIZIONE,una_persona che fa una vita semplicissima che va a lavorare e torna con la moglie una_persona felicissima non avrò mai_pensato di finire_in_carcere,GIUSTIFICAZIONE
2281,2281,"Come si descrive come consumatore di sostanze legali (ad esempio alcol, psicofarmaci)?",DESCRIZIONE,una_persona incosciente e debole_di_personalità,GIUDIZIO
6980,6980,"Secondo lei, quali altre iniziative
potrebbero facilitare l’integrazione fra la popolazione detenuta italiana e straniera?",OPINIONE,come fare sport e organizzare tra_noi cose che potrebbero aiutarci,SPECIFICAZIONE
5092,5092,Immagini di essere stato trasferito in un nuovo Istituto di pena. Dopo alcuni giorni dal suo arrivo pensa: “la popolazione detenuta italiana e straniera di questo Istituto è integrata”. Che cosa le permette di pensarlo?,DESCRIZIONE,il fatto di vedere la popolazione mista e che dividono compiti tipo: lavori ed altro,VALUTAZIONE
4302,4302,"In quanto persona straniera detenuta, come pensa che un operatore dell’area socio-sanitaria di sesso diverso dal suo la descriverebbe?",DESCRIZIONE,questa E una-cosa semplice,COMMENTO
4228,4228,"In quanto persona straniera detenuta, come pensa che un operatore dell’area socio-sanitaria di sesso diverso dal suo la descriverebbe?",DESCRIZIONE,"che E-obbligato e pagat-x-assisterm nel-caso-di-bisogno 
",COMMENTO
552,552,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,non-ho-l-info,sancire
1272,1272,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un Istituto di pena, quali elementi prenderebbe in considerazione ?",VALUTAZIONE,migliorare il cibo,COMMENTO
5596,5596,come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona detenuta?,DESCRIZIONE,lavoro e scuola e imparare qualche mestiere,DESCRIZIONE
3875,3875,"In quanto persona straniera detenuta, come pensa che un operatore dell’area socio-sanitaria di sesso diverso dal suo la descriverebbe?",DESCRIZIONE,"non-vedo nessuna-ambiguita , E un cosa-normale 
",COMMENTO
1485,1485,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un Istituto di pena, quali elementi prenderebbe in considerazione ?",VALUTAZIONE,il cibo; i costi_della_spesa; lo spazio; la ricreazione; l' igiene,GIUDIZIO
6215,6215,Come ti descriverai una volta uscito dal carcere?,DESCRIZIONE,mi_descrivo normale ,GIUDIZIO
4253,4253,"In quanto persona straniera detenuta, come pensa che un operatore dell’area socio-sanitaria di sesso diverso dal suo la descriverebbe?",DESCRIZIONE,"direi 1-persona corretta e che si-impegna nelle sue-cose 
",GIUDIZIO
1955,1955,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere una persona Detenuta?,DESCRIZIONE,"buone,
",CONTRAPPOSIZIONE
313,313,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,dagli-altri-deten,DESCRIZIONE
2582,2582,Come descriverebbe una persona che “gode di salute”?,DESCRIZIONE,Non è solo un discorso di cura e medicine.,sancire
1300,1300,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un Istituto di pena, quali elementi prenderebbe in considerazione ?",VALUTAZIONE,"assistenza_sociale. 
assistenza volontaria.",sancire
58,58,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,la so questa domanda,NON RISPOSTA
5330,5330,Come ti descriveresti prima di entrare in carcere?,DESCRIZIONE,non puo esserci collaborazione_tra_operatori,DESCRIZIONE
349,349,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,tr-deten,DESCRIZIONE
5260,5260,Come ti descriveresti prima di entrare in carcere?,DESCRIZIONE,ho_avuto è la_prima_volta_che entro_in_prigione perché nel_mio_paese non_ho precedenti giudiziari,COMMENTO
2824,2824,Come descriverebbe una persona che “gode di salute”?,DESCRIZIONE,in equilibrio psicofisico,GIUDIZIO
7210,7210,Come ti descriveresti prima di entrare in carcere?,DESCRIZIONE,"ero molto diverso , ma adesso mi_dispiace , spero di cambiarmi per_bene",GENERALIZZAZIONE
5146,5146,Immagini di essere stato trasferito in un nuovo Istituto di pena. Dopo alcuni giorni dal suo arrivo pensa: “la popolazione detenuta italiana e straniera di questo Istituto è integrata”. Che cosa le permette di pensarlo?,DESCRIZIONE,dal rispetto,DESCRIZIONE
6134,6134,Quali sono le azioni che vengono intraprese per la presa in carico della persona straniera detenuta tenendo anche in considerazione l’attività svolta dai ser.t?,DESCRIZIONE,tenere conto della_religione abitudini usanze,COMMENTO
21,21,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,l-interno dell' istituto,GENERALIZZAZIONE
6835,6835,"Secondo lei, quali altre iniziative
potrebbero facilitare l’integrazione fra la popolazione detenuta italiana e straniera?",OPINIONE,è solo una facciata,COMMENTO
4185,4185,"In quanto persona straniera detenuta, come pensa che un operatore dell’area socio-sanitaria di sesso diverso dal suo la descriverebbe?",DESCRIZIONE,normale,GIUDIZIO
1068,1068,Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena quali elementi prenderebbe in considerazione?,DESCRIZIONE,turni di lavoro,sancire
2020,2020,"Come si descrive come consumatore di sostanze legali (ad esempio alcol, psicofarmaci)?",DESCRIZIONE,"052) i problemi_familiari, la manc_lavoro_fisso e i documenti_italiani che camb_perc_vita",GENERALIZZAZIONE
3333,3333,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,"giuro che sono vittima, sono qui a pagare per mio fratello perché egli è scappato in marocco, lavoravo nell'edilizia e quando sono tornato dal lavoro sono stato condannato a 5 anni e 4 mesi",COMMENTO
3386,3386,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,ma che poi se ne pentirà,PREVISIONE
3452,3452,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,"ruba anche lei per sopravvivere,",GIUSTIFICAZIONE
3723,3723,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,che è stato sfortunato,GIUDIZIO
3335,3335,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,descrivo una persona lo stesso reato imputato anche a me che ha sbagliato e ha superato i limiti legislativi,DESCRIZIONE
1526,1526,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un Istituto di pena, quali elementi prenderebbe in considerazione ?",VALUTAZIONE,"palestra 
campo_sportivo",sancire
777,777,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,in quanto dopo tre mesi sono riuscito a frequntare un corso di pittura e dopo un anno in lavoro fisso dove lavoro tuttora,SPECIFICAZIONE
1943,1943,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere una persona Detenuta?,DESCRIZIONE,educazione scolastica,DESCRIZIONE
3060,3060,Come descriverebbe una persona che “gode di salute”?,DESCRIZIONE,fisicamente e psicologicamente no disturbi o no difficoltà,GIUDIZIO
1707,1707,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un Istituto di pena, quali elementi prenderebbe in considerazione ?",VALUTAZIONE,"vorrei che sia_più, o che potrei uscire in affidamento 
il colloquio, rispettare le regole, la scuola, aiutare il prossimo",GIUDIZIO
880,880,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,"diversificate, reali, educative, ma non tengono effettivamente conto della personalità della detenuta a cui proposte",CONTRAPPOSIZIONE
3828,3828,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,non ho commenti da fare,NON RISPOSTA
4701,4701,"Se la risposta data alla domanda precedente è per nulla efficaci/poco efficaci o efficaci/molto efficaci, ci potrebbe indicare le ragioni della sua scelta?",VALUTAZIONE,"questa_risposta Š personale perch‚ so che
il trattt_non_Š_sufficiente per_i_detenuti
dei paesi
arabi
",SPECIFICAZIONE
3075,3075,Come descriverebbe una persona che “gode di salute”?,DESCRIZIONE,che no carcere,sancire
3420,3420,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,ha bisogno di vivere,GIUDIZIO
3668,3668,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,e deve finire subito questo lavoro,COMMENTO
1316,1316,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un Istituto di pena, quali elementi prenderebbe in considerazione ?",VALUTAZIONE,"maggiore possibilità di comunicare telefonicamente con la 
famiglia;",GIUDIZIO
5876,5876,Quali sono le azioni che vengono intraprese per la presa in carico della persona straniera detenuta tenendo anche in considerazione l’attività svolta dai ser.t?,DESCRIZIONE,"affidamento 
affidamento per tossicodip 
",DESCRIZIONE
4413,4413,"Se la risposta data alla domanda precedente è per nulla efficaci/poco efficaci o efficaci/molto efficaci, ci potrebbe indicare le ragioni della sua scelta?",VALUTAZIONE,"ho_fatto penso_che sarebbe meglio se ci lasciassero un po' pi— liberi , che ci
dessero la possibilit… di giocare di_pi—
col pallone , usare il computer e che ci
trattassero come delle
persone che sono recluse

",DESCRIZIONE
972,972,Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena quali elementi prenderebbe in considerazione?,DESCRIZIONE,possibilit_di_lavoro;,sancire
1118,1118,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena, quali elementi prenderebbe in considerazione",VALUTAZIONE,"la libertà e fare_socialità ok palestra 
calcio",GIUDIZIO
