,TESTO DELLA DOMANDA,REPERTORIO DELLA DOMANDA,STRALCIO,DENOMINAZIONE SENIOR,DENOMINAZIONE JUNIOR
3071,Come descriverebbe una persona che “gode di salute”?,DESCRIZIONE,persona che mantiene un corretto e adeguato equilibrio psicofisico,GIUDIZIO,GIUDIZIO
6469,"Secondo lei, quali altre iniziative
potrebbero facilitare l’integrazione fra la popolazione detenuta italiana e straniera?",OPINIONE,operatori capaci di facilitare l' incontro tra le due comunità detenute,GIUDIZIO,GIUDIZIO
1129,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena, quali elementi prenderebbe in considerazione",VALUTAZIONE,essendo nuovo dell' ambiente che perlomeno per quello che ho potuto vedere funziona_quasi_tutto senza alcun tipo di problema. ho chiamato e subito sono arrivati al primo problema fisico,OPINIONE,OPINIONE
1317,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un Istituto di pena, quali elementi prenderebbe in considerazione ?",VALUTAZIONE,invece dei centralini istallare telefoni pubblici nelle varie sezioni;,GIUDIZIO,DESCRIZIONE
3734,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,prima distar tutto ha sbagliato commettendo questo reato,sancire,sancire
5152,Immagini di essere stato trasferito in un nuovo Istituto di pena. Dopo alcuni giorni dal suo arrivo pensa: “la popolazione detenuta italiana e straniera di questo Istituto è integrata”. Che cosa le permette di pensarlo?,DESCRIZIONE,vivo più sereno per dove_sono,NON RISPOSTA,NON RISPOSTA
3814,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,sfortunato,GIUDIZIO,GIUDIZIO
5687,come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona detenuta?,DESCRIZIONE,brutta,GIUDIZIO,GIUDIZIO
868,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,"positivissime,",VALUTAZIONE,GIUDIZIO
3456,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,io la descriverei come una persona ha mai avuto la no fortuna della sua parte,sancire,sancire
7150,Come ti descriveresti prima di entrare in carcere?,DESCRIZIONE,calma equilibrata,DESCRIZIONE,GIUDIZIO
4355,"Se la risposta data alla domanda precedente è per nulla efficaci/poco efficaci o efficaci/molto efficaci, ci potrebbe indicare le ragioni della sua scelta?",VALUTAZIONE,"per l' integrazione delle persone in
societ…
",GENERALIZZAZIONE,NON RISPOSTA
5566,"Per sviluppare le competenze che il suo ruolo richiede, in che modo l’Amministrazione Penitenziaria fornisce occasioni che reputa efficaci rispetto agli obiettivi e alle competenze previste dal suo ruolo?",DESCRIZIONE,"anche_se questi corsi intervengono di_fatto dopo la 
formazione diretta sul_campo, sono pertanto strumenti di riflessione",RIDIMENSIONAMENTO,RIDIMENSIONAMENTO
2731,Come descriverebbe una persona che “gode di salute”?,DESCRIZIONE,atletica attiva,GIUDIZIO,GIUDIZIO
3893,"In quanto persona straniera detenuta, come pensa che un operatore dell’area socio-sanitaria di sesso diverso dal suo la descriverebbe?",DESCRIZIONE,fanno-semp-lor-lav,GENERALIZZAZIONE,GENERALIZZAZIONE
1872,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere una persona Detenuta?,DESCRIZIONE,"il detenuto dopo una selezione , puo svolgere qualsiasi tipo di_attivita sia lavorativa che di hobbistica e sportiva .",DESCRIZIONE,DESCRIZIONE
163,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,DESCRIZIONE,seguo-la-scuola,DESCRIZIONE,SPECIFICAZIONE
4922,Immagini di essere stato trasferito in un nuovo Istituto di pena. Dopo alcuni giorni dal suo arrivo pensa: “la popolazione detenuta italiana e straniera di questo Istituto è integrata”. Che cosa le permette di pensarlo?,DESCRIZIONE,"prima di dare un giudizio, preferisco conoscerla la situazione ",GIUSTIFICAZIONE,GIUSTIFICAZIONE
5435,Come ti descriveresti prima di entrare in carcere?,DESCRIZIONE,"teoricamente sta girando questa idea, ma nella pratica si stanno facendo 
passi indietro verso una netta separazione tra custodia e trattamento 
",CONFRONTO,CONFRONTO
5941,Quali sono le azioni che vengono intraprese per la presa in carico della persona straniera detenuta tenendo anche in considerazione l’attività svolta dai ser.t?,DESCRIZIONE,"contat_sert_appart 
iniziale contatto_com_tera 
",DESCRIZIONE,sancire
3819,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,cattivo,GIUDIZIO,GIUDIZIO
3215,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,che è un'ingiustizia,COMMENTO,COMMENTO
6520,"Secondo lei, quali altre iniziative
potrebbero facilitare l’integrazione fra la popolazione detenuta italiana e straniera?",OPINIONE,non_mi_interessa,NON RISPOSTA,NON RISPOSTA
2849,Come descriverebbe una persona che “gode di salute”?,DESCRIZIONE,fortunata,GIUDIZIO,GIUDIZIO
