,Unnamed: 0,TESTO DELLA DOMANDA,REPERTORIO DELLA DOMANDA,STRALCIO,DENOMINAZIONE SENIOR
6629,6629,"Secondo lei, quali altre iniziative
potrebbero facilitare l’integrazione fra la popolazione detenuta italiana e straniera?",OPINIONE,nient' altro,sancire
7005,7005,"Secondo lei, quali altre iniziative
potrebbero facilitare l’integrazione fra la popolazione detenuta italiana e straniera?",OPINIONE,convivenza non è difficile,COMMENTO
6677,6677,"Secondo lei, quali altre iniziative
potrebbero facilitare l’integrazione fra la popolazione detenuta italiana e straniera?",OPINIONE,perché non valutano ogni soggetto è solo un casino in_ogni istituto,COMMENTO
5933,5933,Quali sono le azioni che vengono intraprese per la presa in carico della persona straniera detenuta tenendo anche in considerazione l’attività svolta dai ser.t?,DESCRIZIONE,"la detenuta_tosdip ( italiana o straniera ) viene_seguita da un tossicologo e da uno psicologo per 
colloqui_sost e viene_allocato in un reparto specifico fino_alla disintossicazione . 
",DESCRIZIONE
4441,4441,"Se la risposta data alla domanda precedente è per nulla efficaci/poco efficaci o efficaci/molto efficaci, ci potrebbe indicare le ragioni della sua scelta?",VALUTAZIONE,"sono sei anni mai_visto mia famiglia .
questo Š il problema
",sancire
4680,4680,"Se la risposta data alla domanda precedente è per nulla efficaci/poco efficaci o efficaci/molto efficaci, ci potrebbe indicare le ragioni della sua scelta?",VALUTAZIONE,"perch‚_con_queste_opportunit… puoi avere la
possibilit…_di_risolvere tanti problemi .
per_esempio
affidamento di_lavoro , arresto domiciliare
, possibilit… di avere soldi per fare la
spesa in_caso_di
lavorare all_interno a chi non fa colloquio
",POSSIBILITÀ
1628,1628,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un Istituto di pena, quali elementi prenderebbe in considerazione ?",VALUTAZIONE,"il direttore 
la sorveglianza",GIUDIZIO
1435,1435,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un Istituto di pena, quali elementi prenderebbe in considerazione ?",VALUTAZIONE,la pulizia all_interno_del carcere per_terra o nelle finestre,GIUDIZIO
5499,5499,"Per sviluppare le competenze che il suo ruolo richiede, in che modo l’Amministrazione Penitenziaria fornisce occasioni che reputa efficaci rispetto agli obiettivi e alle competenze previste dal suo ruolo?",DESCRIZIONE,"penso per_il_fatto_di appartenere a categorie professionali e soprattutto 
per i costi che gli aggiornamenti comportano e quindi non ritenere utili 
investimenti 
",Opinione
5628,5628,come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona detenuta?,DESCRIZIONE,"non c' Š niente_da dire perch‚ questo posto Š insoddisfacente per 
accettare il trattame_rieducativo .",COMMENTO
5752,5752,come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona detenuta?,DESCRIZIONE,poco efficaci .,GIUDIZIO
5808,5808,Quali sono le azioni che vengono intraprese per la presa in carico della persona straniera detenuta tenendo anche in considerazione l’attività svolta dai ser.t?,DESCRIZIONE,come qualsiasi altro detenuto_tosdip italiano,COMMENTO
940,940,Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena quali elementi prenderebbe in considerazione?,DESCRIZIONE,pi— attivit… per tenere impegnati per maggior tempo i detenuti,VALUTAZIONE
825,825,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,DESCRIZIONE,molto importanti come occasioni di reinserimento socale ma in realta lente in quanto parecchio burocratiche,COMMENTO
6733,6733,"Secondo lei, quali altre iniziative
potrebbero facilitare l’integrazione fra la popolazione detenuta italiana e straniera?",OPINIONE,dividere le sezioni per limitare i danni,RIFERIMENTO ALL'OBIETTIVO
7044,7044,Come ti descriveresti prima di entrare in carcere?,DESCRIZIONE,una_persona il carcere lo immaginavo solo,COMMENTO
5951,5951,Quali sono le azioni che vengono intraprese per la presa in carico della persona straniera detenuta tenendo anche in considerazione l’attività svolta dai ser.t?,DESCRIZIONE,"sono_stesse_proc come i detenuti_ita 
colloqui con educatori , ass_soc e personale_op con il personale",sancire
3574,3574,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,io le consiglierei di non rifare lo stesso errore perché non va bene e potrebbe rovinare sé stesso e la famiglia,GENERALIZZAZIONE
2089,2089,"Come si descrive come consumatore di sostanze legali (ad esempio alcol, psicofarmaci)?",DESCRIZIONE,non_so,NON RISPOSTA
5908,5908,Quali sono le azioni che vengono intraprese per la presa in carico della persona straniera detenuta tenendo anche in considerazione l’attività svolta dai ser.t?,DESCRIZIONE,vengono_segnalati in_relazione_alle loro dichiarazioni fatte all_ingresso ai sanitari,DESCRIZIONE
5595,5595,come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona detenuta?,DESCRIZIONE,", e 
le cause sono molte mancanza di personale ( educatori , 
assistenti_sociali , eccetera eccetera )",GIUSTIFICAZIONE
4305,4305,"In quanto persona straniera detenuta, come pensa che un operatore dell’area socio-sanitaria di sesso diverso dal suo la descriverebbe?",DESCRIZIONE,uguale,GIUDIZIO
5465,5465,"Per sviluppare le competenze che il suo ruolo richiede, in che modo l’Amministrazione Penitenziaria fornisce occasioni che reputa efficaci rispetto agli obiettivi e alle competenze previste dal suo ruolo?",DESCRIZIONE,"pero c' e da 
fare ancora molto per sentirci preparati al_nostro_ruolo",CONTRAPPOSIZIONE
1510,1510,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un Istituto di pena, quali elementi prenderebbe in considerazione ?",VALUTAZIONE,"il trattamento_rieducativo 
la pena",sancire
4710,4710,"Se la risposta data alla domanda precedente è per nulla efficaci/poco efficaci o efficaci/molto efficaci, ci potrebbe indicare le ragioni della sua scelta?",VALUTAZIONE,"secondo_me aiuta a cambiare la mentalit…
delle persone . certe persone si accorgono
di poter fare
tante altre cose oltre_all' infrangere la
legge .
",DESCRIZIONE
3457,3457,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,e la giustizia italiana non prende in considerazione questo fatto e la disgrazia successa a questa persona,SPECIFICAZIONE
5990,5990,Quali sono le azioni che vengono intraprese per la presa in carico della persona straniera detenuta tenendo anche in considerazione l’attività svolta dai ser.t?,DESCRIZIONE,"lo scalare_metad o subutex 
gruppi di attenzione per gesti autolesivi e anticonservativi 
progetto prometeo per i sieropositivi o con aids 
",DESCRIZIONE
4170,4170,"In quanto persona straniera detenuta, come pensa che un operatore dell’area socio-sanitaria di sesso diverso dal suo la descriverebbe?",DESCRIZIONE,bisognerebbe chiederle,COMMENTO
4562,4562,"Se la risposta data alla domanda precedente è per nulla efficaci/poco efficaci o efficaci/molto efficaci, ci potrebbe indicare le ragioni della sua scelta?",VALUTAZIONE,"non ho bisogno di un_trattt_rieducativo e
delle idea degli altri non ho bisogno .
sono un pu•
riservato , non trovo una risposta . ho
cominciato a odiare me_stesso , e tutti gli
altri .
",GIUSTIFICAZIONE
6876,6876,"Secondo lei, quali altre iniziative
potrebbero facilitare l’integrazione fra la popolazione detenuta italiana e straniera?",OPINIONE,solo la psossibilità di scegliere le persone con cui c' è un affinità caratteriale,sancire
6476,6476,"Secondo lei, quali altre iniziative
potrebbero facilitare l’integrazione fra la popolazione detenuta italiana e straniera?",OPINIONE,non rispondo,NON RISPOSTA
5167,5167,Immagini di essere stato trasferito in un nuovo Istituto di pena. Dopo alcuni giorni dal suo arrivo pensa: “la popolazione detenuta italiana e straniera di questo Istituto è integrata”. Che cosa le permette di pensarlo?,DESCRIZIONE,che si sono amalgamate bene e che hanno avuto un_buon inserimento nel contesto,GIUDIZIO
2551,2551,Come descriverebbe una persona che è stata condannata per lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,"come_una_persona Š_colpevole come me 
",GIUDIZIO
