,index,Unnamed: 0,Question,QRep,Answer,Rep,Skill,Dataset,p,MacroCat,text,label,label2,is_valid,set_tag,is_test
0,0,0,Come descriverebbe il ruolo di Professore di psicologia?,descrizione,lo descriverei come una persona con una mentalità formata nei primi tre anni attraverso cui determina il modo in cui viene svolto il lavoro accademico attualmente,sancire,J,Mix,"('red', 1, 0)",red,lo descriverei come una persona con una mentalità formata nei primi tre anni attraverso cui determina il modo in cui viene svolto il lavoro accademico attualmente,red,sancire,True,2,True
1,1,1,Come descriverebbe l’iter di adozione internazionale?,descrizione,Di avere tanta forza e volontà d’animo perché la strada è difficile e tortuosa. ,giustificazione,J,Mix,"('red', 4, 1)",red,Di avere tanta forza e volontà d’animo perché la strada è difficile e tortuosa. ,red,giustificazione,True,2,True
2,2,1,Come descriverebbe l’iter di adozione internazionale?,descrizione,Ed in alcuni casi anche ostruita da tanto menefreghismo. ,giudizio,J,Mix,"('red', 3, 1)",red,Ed in alcuni casi anche ostruita da tanto menefreghismo. ,red,giudizio,True,2,True
3,3,1,Come descriverebbe l’iter di adozione internazionale?,descrizione,"Ma alla fine del tutto la rifaresti tutta anche in condizioni peggiori, ",previsione,J,Mix,"('red', 5, 4)",red,"Ma alla fine del tutto la rifaresti tutta anche in condizioni peggiori, ",red,previsione,True,2,True
4,4,1,Come descriverebbe l’iter di adozione internazionale?,descrizione,"ma la rifaresti anche mille e mille volte per l’amore, la gioia le cose belle che ci sono alla fine del viaggio",sancire,J,Mix,"('red', 1, 0)",red,"ma la rifaresti anche mille e mille volte per l’amore, la gioia le cose belle che ci sono alla fine del viaggio",red,sancire,True,2,True
5,5,2,Come descriverebbe un paziente oncologico operato per neoplasia?,descrizione,Normalmente,giudizio,J,Mix,"('red', 3, 1)",red,Normalmente,red,giudizio,True,2,True
6,6,3,Come descriverebbe le interazioni fra Università e città?,descrizione,Forze dell'ordine più presenti.,sancire,J,Mix,"('red', 1, 0)",red,Forze dell'ordine più presenti.,red,sancire,True,2,True
7,7,3,Come descriverebbe le interazioni fra Università e città?,descrizione,Cittadini comprensivi che pensino a come integrare il tutto piuttosto che lamentarsi solamente,contrapposizione,J,Mix,"('red', 6, 4)",red,Cittadini comprensivi che pensino a come integrare il tutto piuttosto che lamentarsi solamente,red,contrapposizione,True,2,True
8,8,4,Come descriverebbe gli aspetti critici del territorio e della comunità?,descrizione,La mancanza di una visione strategica sotto il profilo della crescita economica e sociale della città. ,sancire,J,Mix,"('red', 1, 0)",red,La mancanza di una visione strategica sotto il profilo della crescita economica e sociale della città. ,red,sancire,True,2,True
9,9,4,Come descriverebbe gli aspetti critici del territorio e della comunità?,descrizione," La città manca di una prospettiva di posizionamento, non è chiaro che ruolo voglia avere nel nord - est e come recepisce le trasformazioni a scala sovra locale in atto.",valutazione,J,Mix,"('yellow', 5, 5)",yellow," La città manca di una prospettiva di posizionamento, non è chiaro che ruolo voglia avere nel nord - est e come recepisce le trasformazioni a scala sovra locale in atto.",yellow,valutazione,True,2,True
10,10,4,Come descriverebbe gli aspetti critici del territorio e della comunità?,descrizione,Dal punto di vista sociale si assiste ad una vera disintegrazione del tessuto.,sancire,J,Mix,"('red', 1, 0)",red,Dal punto di vista sociale si assiste ad una vera disintegrazione del tessuto.,red,sancire,True,2,True
11,11,4,Come descriverebbe gli aspetti critici del territorio e della comunità?,descrizione,I giovani sono mediamente poco istruiti ,giudizio,J,Mix,"('red', 3, 1)",red,I giovani sono mediamente poco istruiti ,red,giudizio,True,2,True
12,12,4,Come descriverebbe gli aspetti critici del territorio e della comunità?,descrizione,ed hanno perso l'intraprendenza e le capacità imprenditoriali della generazione precedente.,confronto,J,Mix,"('red', 6, 4)",red,ed hanno perso l'intraprendenza e le capacità imprenditoriali della generazione precedente.,red,confronto,True,2,True
13,13,5,Come descriverebbe un paziente oncologico operato per neoplasia?,descrizione,Nessuna difficoltà,commento,J,Mix,"('red', 3, 1)",red,Nessuna difficoltà,red,commento,True,2,True
14,14,6,Come descriverebbe una violenza sessuale?,descrizione,"Si fa presente che nella casa oltre alla signora Irina, invalida civile al 74%, ",descrizione,J,Mix,"('green', 0, 1)",green,"Si fa presente che nella casa oltre alla signora Irina, invalida civile al 74%, ",green,descrizione,True,2,True
15,15,7,Come descriverebbe il terrorismo?,descrizione,Mi pare di aver visto in un qualche grafico che il numero di persone uccise in questi anni da attentati islamici è minore rispetto a quelle che sono morte per il terrorismo italiano o tipo quello irlandese… però questa situazione secondo me sta generando molta paura. ,opinione,J,Mix,"('red', 5, 3)",red,Mi pare di aver visto in un qualche grafico che il numero di persone uccise in questi anni da attentati islamici è minore rispetto a quelle che sono morte per il terrorismo italiano o tipo quello irlandese… però questa situazione secondo me sta generando molta paura. ,red,opinione,True,2,True
16,16,7,Come descriverebbe il terrorismo?,descrizione,"La gente un piccolo pensiero se lo fa prima di salire su un aereo o decidere di andare in vacanza nelle grandi capitali europee. Poi ovviamente ci va lo stesso, ma anche non volendo sei comunque condizionato da questo clima. ",sancire,J,Mix,"('red', 1, 0)",red,"La gente un piccolo pensiero se lo fa prima di salire su un aereo o decidere di andare in vacanza nelle grandi capitali europee. Poi ovviamente ci va lo stesso, ma anche non volendo sei comunque condizionato da questo clima. ",red,sancire,True,2,True
17,17,7,Come descriverebbe il terrorismo?,descrizione,"Personalmente, ho notato che gli ultimi attentati stanno suscitando in me sempre meno reazioni emotive: la sera del Bataclan sono rimasta attaccata alla tv, adesso mi dispiaccio molto meno… come se stessi cominciando a considerare “normale” il fatto che prima o poi debbano succedere questi episodi. La cosa che sinceramente continua a stupirmi è che non ci sia ancora stato nulla in Italia, o siamo dei geni dell’intelligence o boh…",opinione,J,Mix,"('red', 5, 3)",red,"Personalmente, ho notato che gli ultimi attentati stanno suscitando in me sempre meno reazioni emotive: la sera del Bataclan sono rimasta attaccata alla tv, adesso mi dispiaccio molto meno… come se stessi cominciando a considerare “normale” il fatto che prima o poi debbano succedere questi episodi. La cosa che sinceramente continua a stupirmi è che non ci sia ancora stato nulla in Italia, o siamo dei geni dell’intelligence o boh…",red,opinione,True,2,True
