,d,t
0,1,21
1,5,11
2,15,10
3,9,17
4,9,21
5,7,10
6,10,21
7,13,6
8,13,21
9,10,23
10,9,21
11,5,10
12,21,4
13,21,2
14,9,7
15,5,14
16,5,21
17,5,14
18,8,10
19,5,7
20,3,20
21,7,22
22,10,10
23,3,7
24,7,17
25,5,15
26,21,2
27,7,21
28,9,10
29,15,10
30,12,15
31,9,14
32,2,4
33,5,14
34,1,23
35,5,10
36,5,10
37,9,21
38,9,20
39,5,10
40,13,2
41,21,15
42,21,21
43,21,21
44,13,7
45,8,13
46,9,21
47,9,7
48,9,21
49,5,10
50,5,22
51,5,10
52,9,21
53,7,7
54,3,1
55,7,11
56,21,13
57,3,10
58,7,21
59,5,10
60,7,3
61,7,14
62,5,21
63,15,13
64,12,7
65,3,14
66,2,21
67,5,7
68,18,22
69,16,7
70,16,4
71,3,12
72,21,1
73,2,7
74,16,15
75,13,10
76,12,7
77,16,10
78,16,16
79,21,21
80,15,8
81,21,10
82,22,16
83,22,8
84,12,16
85,5,8
86,11,12
87,2,9
88,22,1
89,17,14
90,6,7
91,7,21
92,15,21
93,10,11
94,22,16
95,12,14
96,23,7
97,22,21
98,10,10
99,20,7
100,15,18
101,22,22
102,22,23
103,21,15
104,12,2
105,7,7
106,14,10
107,10,7
108,14,23
109,20,23
110,19,21
111,19,22
112,19,21
113,19,22
114,23,21
115,19,2
116,22,7
117,3,22
118,3,21
119,14,7
120,23,10
121,5,23
122,7,21
123,22,22
124,5,10
125,3,21
126,7,14
127,5,10
128,22,10
129,15,11
130,9,7
131,21,21
132,9,21
133,11,21
134,22,21
135,5,8
136,3,9
137,9,7
138,21,17
139,9,6
140,12,22
141,17,17
142,15,22
143,13,10
144,7,9
145,22,23
146,3,7
147,3,9
148,22,14
149,15,22
150,15,14
151,15,2
152,3,10
153,13,0
154,3,15
155,17,21
156,19,20
157,5,21
158,15,10
159,5,22
160,13,21
161,22,21
162,22,7
163,3,22
164,3,7
165,12,10
166,22,10
167,0,21
168,4,10
169,9,10
170,11,21
171,17,10
172,22,13
173,21,21
174,8,16
175,5,21
176,22,7
177,17,12
178,19,21
179,2,17
180,5,13
181,2,10
182,12,21
183,4,10
184,14,15
185,13,11
186,15,17
187,12,2
188,19,21
189,5,15
190,15,21
191,15,10
192,15,2
193,9,18
194,19,9
195,2,13
196,12,10
197,5,7
198,12,2
199,20,21
200,22,10
201,22,23
202,16,9
203,13,10
204,3,11
205,3,18
206,15,7
207,3,10
208,3,21
209,22,9
210,21,10
211,15,2
212,23,10
213,3,9
214,5,7
215,5,21
216,15,21
217,13,2
218,13,10
219,7,2
220,17,14
221,3,10
222,3,7
223,5,21
224,17,7
225,5,1
226,3,9
227,12,17
228,12,12
229,17,21
230,16,8
231,17,7
232,22,14
233,12,13
234,5,15
235,9,15
236,10,15
237,17,9
238,17,15
239,5,6
240,7,4
241,7,7
242,9,10
243,21,10
244,9,22
245,7,1
246,12,12
247,22,21
248,12,14
249,8,21
250,8,7
251,22,10
252,5,21
253,12,21
254,15,10
255,8,6
256,20,10
257,20,7
258,12,21
259,7,10
260,23,1
261,8,21
262,3,7
263,4,21
264,15,6
265,17,10
266,9,7
267,16,6
268,13,23
269,9,7
270,10,6
271,9,21
272,1,22
273,10,10
274,22,7
275,3,21
276,15,17
277,10,21
278,22,7
279,12,10
280,2,7
281,10,10
282,15,21
283,3,21
284,15,7
285,16,16
286,10,21
287,1,2
288,1,14
289,12,14
290,15,21
291,22,7
292,9,7
293,9,1
294,9,9
295,9,7
296,9,7
297,13,23
298,1,14
299,12,11
300,10,22
301,21,16
302,1,21
303,3,23
304,15,1
305,1,2
306,9,7
307,15,22
308,1,4
309,12,13
310,22,2
311,1,11
312,21,14
313,22,9
314,1,2
315,19,21
316,21,21
317,10,2
318,16,10
319,1,22
320,12,2
321,1,23
322,21,22
323,1,23
324,10,10
325,16,6
326,2,15
327,9,7
328,20,11
329,5,11
330,9,2
331,9,10
332,9,8
333,6,15
334,5,12
335,5,23
336,7,12
