,d,t
0,7,21
1,10,11
2,22,10
3,10,17
4,10,21
5,21,10
6,5,21
7,7,6
8,9,21
9,5,23
10,10,21
11,2,10
12,21,4
13,7,2
14,7,7
15,6,14
16,5,21
17,21,14
18,10,10
19,21,7
20,3,20
21,5,22
22,7,10
23,7,7
24,7,17
25,7,15
26,10,2
27,21,21
28,21,10
29,7,10
30,21,15
31,21,14
32,13,4
33,21,14
34,7,23
35,23,10
36,21,10
37,10,21
38,5,20
39,6,10
40,7,2
41,5,15
42,13,21
43,14,21
44,7,7
45,21,13
46,21,21
47,7,7
48,13,21
49,6,10
50,9,22
51,22,10
52,10,21
53,14,7
54,5,1
55,5,11
56,4,13
57,7,10
58,20,21
59,5,10
60,7,3
61,6,14
62,13,21
63,21,13
64,14,7
65,10,14
66,7,21
67,5,7
68,10,22
69,6,7
70,8,4
71,22,12
72,8,1
73,10,7
74,14,15
75,7,10
76,9,7
77,5,10
78,5,16
79,22,21
80,2,8
81,21,10
82,5,16
83,13,8
84,22,16
85,22,8
86,7,12
87,7,9
88,7,1
89,7,14
90,7,7
91,7,21
92,22,21
93,7,11
94,7,16
95,7,14
96,17,7
97,17,21
98,16,10
99,10,7
100,21,18
101,22,22
102,21,23
103,21,15
104,22,2
105,7,7
106,5,10
107,5,7
108,22,23
109,10,23
110,17,21
111,19,22
112,19,21
113,21,22
114,1,21
115,16,2
116,22,7
117,16,22
118,21,21
119,7,7
120,5,10
121,7,23
122,10,21
123,5,22
124,5,10
125,21,21
126,21,14
127,3,10
128,7,10
129,7,11
130,9,7
131,21,21
132,21,21
133,21,21
134,2,21
135,13,8
136,23,9
137,5,7
138,21,17
139,5,6
140,9,22
141,21,17
142,21,22
143,21,10
144,22,9
145,7,23
146,22,7
147,7,9
148,2,14
149,1,22
150,13,14
151,21,2
152,7,10
153,7,0
154,3,15
155,5,21
156,1,20
157,5,21
158,13,10
159,5,22
160,5,21
161,12,21
162,12,7
163,12,22
164,7,7
165,10,10
166,1,10
167,7,21
168,5,10
169,22,10
170,22,21
171,22,10
172,7,13
173,7,21
174,20,16
175,7,21
176,22,7
177,22,12
178,22,21
179,21,17
180,21,13
181,22,10
182,5,21
183,5,10
184,5,15
185,16,11
186,21,17
187,10,2
188,22,21
189,2,15
190,21,21
191,21,10
192,7,2
193,10,18
194,21,9
195,21,13
196,20,10
197,7,7
198,13,2
199,7,21
200,7,10
201,10,23
202,5,9
203,5,10
204,10,11
205,2,18
206,10,7
207,10,10
208,10,21
209,21,9
210,22,10
211,17,2
212,17,10
213,7,9
214,5,7
215,5,21
216,7,21
217,22,2
218,7,10
219,5,2
220,22,14
221,13,10
222,7,7
223,10,21
224,10,7
225,22,1
226,22,9
227,12,17
228,21,12
229,22,21
230,21,8
231,7,7
232,7,14
233,5,13
234,3,15
235,21,15
236,10,15
237,10,9
238,21,15
239,6,6
240,6,4
241,22,7
242,21,10
243,21,10
244,7,22
245,21,1
246,21,12
247,13,21
248,7,14
249,2,21
250,11,7
251,1,10
252,7,21
253,9,21
254,5,10
255,7,6
256,21,10
257,10,7
258,10,21
259,21,10
260,21,1
261,11,21
262,12,7
263,21,21
264,9,6
265,9,10
266,7,7
267,10,6
268,4,23
269,3,7
270,13,6
271,17,21
272,17,22
273,16,10
274,7,7
275,3,21
276,21,17
277,5,21
278,2,7
279,16,10
280,7,7
281,10,10
282,2,21
283,7,21
284,10,7
285,14,16
286,16,21
287,10,2
288,7,14
289,7,14
290,21,21
291,10,7
292,12,7
293,17,1
294,9,9
295,13,7
296,13,7
297,7,23
298,22,14
299,13,11
300,13,22
301,21,16
302,19,21
303,19,23
304,19,1
305,21,2
306,17,7
307,13,22
308,13,4
309,5,13
310,10,2
311,17,11
312,17,14
313,17,9
314,5,2
315,19,21
316,21,21
317,21,2
318,10,10
319,17,22
320,5,2
321,15,23
322,12,22
323,17,23
324,10,10
325,5,6
326,5,15
327,5,7
328,12,11
329,15,11
330,5,2
331,10,10
332,9,8
333,22,15
334,2,12
335,10,23
336,21,12
337,17,3
338,17,17
339,10,23
340,13,7
341,3,21
342,15,7
343,12,10
344,17,7
345,12,17
346,5,1
347,5,15
348,3,10
349,5,21
350,6,21
351,4,8
352,17,0
353,10,7
354,17,21
355,15,21
356,17,21
357,13,7
358,13,10
359,13,10
360,7,2
361,6,12
362,17,23
363,2,23
364,7,1
365,22,2
366,16,10
367,9,9
368,4,2
369,2,17
370,7,21
371,21,1
372,22,14
373,10,3
374,21,21
375,21,21
376,13,6
377,17,21
378,13,21
379,15,12
380,23,21
381,12,6
382,22,22
383,13,10
384,13,14
385,10,6
386,7,9
387,10,2
388,10,10
389,10,9
390,9,7
391,21,7
392,21,20
393,13,9
394,4,10
395,13,20
396,17,9
397,3,22
398,9,4
399,22,9
400,15,16
401,0,7
402,22,15
403,22,9
404,22,12
405,19,17
406,5,23
407,2,21
408,12,2
409,16,9
410,13,2
411,5,21
412,22,7
413,2,21
414,13,7
415,12,23
416,9,7
417,10,23
418,9,7
419,16,3
420,14,8
421,10,23
422,9,23
423,9,12
424,10,16
425,19,3
426,16,16
427,19,22
428,1,1
429,16,16
430,22,22
431,3,1
432,19,16
433,3,12
434,11,6
435,9,2
436,15,10
437,15,15
438,9,21
439,22,13
440,21,7
441,16,23
442,2,23
443,15,22
444,21,10
445,17,6
446,17,7
447,17,22
448,6,7
449,21,17
450,21,6
451,21,22
452,7,7
453,15,3
454,0,2
455,22,21
456,2,22
457,10,9
458,21,14
459,7,2
460,11,17
461,0,23
462,21,21
463,2,8
464,7,23
465,1,8
466,22,22
467,22,21
468,12,23
469,16,8
470,22,22
471,3,7
472,2,14
473,2,21
474,4,21
475,2,15
476,2,20
477,23,10
478,7,21
479,12,9
480,22,2
481,9,21
482,11,7
483,3,2
484,2,21
485,21,14
486,1,20
487,21,21
488,3,3
489,9,2
490,10,10
491,15,7
492,5,6
493,3,3
494,2,10
495,3,15
496,7,7
497,5,7
498,7,7
499,5,7
500,9,9
501,9,6
502,14,10
503,2,20
504,4,7
