,d,t
0,7,21
1,10,23
2,14,14
3,13,13
4,0,9
5,23,10
6,4,4
7,10,10
8,8,21
9,7,11
10,13,2
11,10,7
12,10,10
13,22,7
14,13,12
15,7,22
16,17,17
17,17,17
18,13,13
19,15,14
20,22,9
21,14,20
22,14,2
23,4,6
24,10,10
25,23,23
26,16,21
27,1,7
28,21,10
29,4,9
30,21,21
31,1,12
32,13,13
33,7,13
34,10,21
35,10,10
36,1,14
37,10,10
38,18,7
39,21,21
40,8,10
41,8,10
42,7,21
43,12,21
44,18,17
45,14,14
46,12,1
47,11,23
48,9,10
49,20,22
50,12,23
51,20,7
52,1,12
53,1,23
54,23,23
55,7,7
56,6,6
57,10,10
58,4,4
59,6,6
60,4,4
61,7,10
62,5,7
63,16,16
64,21,21
65,9,4
66,9,2
67,3,11
68,9,4
69,9,10
70,16,10
71,16,23
72,12,10
73,15,8
74,14,17
75,3,12
76,15,15
77,15,7
78,1,3
79,3,12
80,21,21
81,4,23
82,6,10
83,20,2
84,7,21
85,12,2
86,16,17
87,17,14
88,22,21
89,10,22
90,13,14
91,16,7
92,6,6
93,1,1
94,9,2
95,13,9
96,6,21
97,23,23
98,23,2
99,2,9
100,9,21
101,23,2
102,13,9
103,3,22
104,19,6
105,15,15
106,22,10
107,10,10
108,7,7
109,14,7
110,7,10
111,15,15
112,8,9
113,14,14
114,7,7
115,21,21
116,10,21
117,21,21
118,21,21
119,21,7
120,12,1
121,14,8
122,23,21
123,10,23
124,17,21
125,10,10
126,23,10
127,6,23
128,10,21
129,21,21
130,20,14
131,22,18
132,20,21
133,11,21
134,16,2
135,15,21
136,8,17
137,10,10
138,16,16
139,10,10
140,10,10
141,3,12
142,7,7
143,14,10
144,11,7
145,22,9
146,14,14
147,21,21
148,4,10
149,10,10
150,16,21
151,7,7
152,21,7
153,10,10
154,8,21
155,13,13
156,13,3
157,10,21
158,8,21
159,17,17
160,9,4
161,10,3
162,15,21
163,12,1
164,16,23
165,15,18
166,16,23
167,7,21
168,7,7
169,7,7
170,1,1
171,7,7
172,14,10
173,6,6
174,1,21
175,22,22
176,3,3
177,14,7
178,10,7
179,1,15
180,12,12
181,7,7
182,13,21
183,8,13
184,23,21
185,23,23
186,16,7
187,16,21
188,10,7
189,11,21
190,12,3
191,12,3
192,3,3
193,16,22
194,4,3
195,15,3
196,16,22
197,3,3
198,12,3
199,3,3
200,16,16
201,14,14
202,23,10
203,4,4
204,9,9
205,23,23
206,11,2
207,17,17
208,3,11
209,8,14
210,10,21
211,21,10
212,23,7
213,23,23
214,14,17
215,17,21
216,7,7
217,7,7
218,20,8
219,14,14
220,3,22
221,21,2
222,21,22
223,10,10
224,6,6
225,6,7
226,14,14
227,7,7
228,13,13
229,2,9
230,2,2
231,3,22
232,1,1
233,23,2
234,17,9
235,8,1
236,10,10
237,10,11
238,9,10
239,2,10
240,16,16
241,16,14
242,11,10
243,4,17
244,7,2
245,17,17
246,10,7
247,3,22
248,23,22
249,17,16
250,7,21
251,23,11
252,12,17
253,7,7
254,3,23
255,0,0
256,10,14
257,10,10
258,16,16
259,8,2
260,23,23
261,23,2
262,12,21
263,21,21
264,1,1
265,15,17
266,1,1
267,10,10
268,10,10
269,16,21
270,9,21
271,21,9
272,18,20
273,7,9
274,3,11
275,10,21
276,21,9
277,10,7
278,10,10
279,10,0
280,8,10
281,14,14
282,17,21
283,1,10
284,8,8
285,14,14
286,21,21
287,4,10
288,12,9
289,11,11
290,1,12
291,17,15
292,9,22
293,12,21
294,14,21
295,10,10
296,3,6
297,23,12
298,6,6
299,20,9
300,10,10
301,10,21
302,7,21
303,6,6
304,7,7
305,21,21
306,7,7
307,4,4
308,13,7
309,10,7
310,12,7
311,10,21
312,21,7
313,17,17
314,7,7
315,15,7
316,21,22
317,2,21
318,15,22
319,6,2
320,10,10
321,7,21
322,16,23
323,12,1
324,18,18
325,12,22
326,6,23
327,2,3
328,4,2
329,14,8
330,6,22
331,23,23
332,6,22
333,14,14
334,22,21
335,3,3
336,14,21
337,16,16
338,16,16
339,20,20
340,13,13
341,10,10
342,2,21
343,23,11
344,18,17
345,7,7
346,7,7
347,7,7
348,7,21
349,1,12
350,20,8
351,3,7
352,7,7
353,10,21
354,12,15
355,1,12
356,14,14
357,11,3
358,6,6
359,12,12
360,7,7
361,13,22
362,1,7
363,17,21
364,10,7
365,18,7
366,22,22
367,7,12
368,14,4
369,7,7
370,14,2
371,16,20
372,4,17
373,13,13
374,5,14
375,22,4
376,7,7
377,12,12
378,13,2
379,17,9
380,5,14
381,23,23
382,22,15
383,11,22
384,4,10
385,14,1
386,13,10
387,17,12
388,13,2
389,23,23
390,6,6
391,6,6
392,22,21
393,22,21
394,18,18
395,15,15
396,15,12
397,18,5
398,23,2
399,14,9
400,7,7
401,13,13
402,7,11
403,13,13
404,16,10
405,21,10
406,7,7
407,10,10
408,14,21
409,22,22
410,15,21
411,12,12
412,10,10
413,17,17
414,16,16
415,7,21
416,2,21
417,7,7
418,20,7
419,17,16
420,15,15
421,20,20
422,17,7
423,10,10
424,11,1
425,14,22
426,12,12
427,16,16
428,12,1
429,10,10
430,10,10
431,6,6
432,3,7
433,6,10
434,12,8
435,6,6
436,8,10
437,6,7
438,12,12
439,20,20
440,6,6
441,8,3
442,12,12
443,6,6
444,3,11
445,5,21
446,6,6
447,11,11
448,7,7
449,17,17
450,20,20
451,11,11
452,21,21
453,6,6
454,7,6
455,7,7
456,21,21
457,1,12
458,15,15
459,15,22
460,3,2
461,15,15
462,1,1
463,19,1
464,22,3
465,3,2
466,15,15
467,15,22
468,21,1
469,16,16
470,3,3
