,Unnamed: 0,Unnamed: 0.1,Question,QRep,Answer,Rep,Skill,Dataset,p,MacroCat,text,label,label2,is_valid,set_tag,is_test
0,0,0,Come ha avuto l’informazione della presenza delle opportunità di trattamento rieducativi che ha segnato nella domanda precedente?,Descrizione,perche tanti di noi hanno le fami qui e non pens scappare ,contrapposizione,J,Mix,"('red', 6, 4)",red,perche tanti di noi hanno le fami qui e non pens scappare ,red,contrapposizione,True,2,True
1,1,1,Immagini di essere stato trasferito in un nuovo Istituto di pena. Dopo alcuni giorni dal suo arrivo pensa: “la popolazione detenuta italiana e straniera di questo Istituto è integrata”. Che cosa le permette di pensarlo?,Descrizione,non riesco a dare una risposta perche pochi giorni non bastano per dare un giudizio sulle integrazione ,giustificazione,J,Mix,"('red', 4, 1)",red,non riesco a dare una risposta perche pochi giorni non bastano per dare un giudizio sulle integrazione ,red,giustificazione,True,2,True
2,2,2,Come ti descriveresti prima di entrare in carcere?,Descrizione,abbastanza responsabile ,descrizione,J,Mix,"('green', 0, 1)",green,abbastanza responsabile ,green,descrizione,True,2,True
3,3,3,Come ti descriveresti prima di entrare in carcere?,Descrizione,super ,descrizione,J,Mix,"('green', 0, 1)",green,super ,green,descrizione,True,2,True
4,4,4,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,Descrizione,direi che e un malvivente anche se io sono pur essendo innocente anche se sono albanese ,contrapposizione,J,Mix,"('red', 6, 4)",red,direi che e un malvivente anche se io sono pur essendo innocente anche se sono albanese ,red,contrapposizione,True,2,True
5,5,5,"In quanto persona straniera detenuta, come pensa che un operatore dell’area socio-sanitaria di sesso diverso dal suo la descriverebbe?",Descrizione,che e 1 brava persona ,giudizio,J,Mix,"('red', 3, 1)",red,che e 1 brava persona ,red,giudizio,True,2,True
6,6,6,Come ti descriveresti prima di entrare in carcere?,Descrizione,ero tranquillo e contento e adesso questi ci fanno impazzire e ci prendono in giro ,contrapposizione,J,Mix,"('red', 6, 4)",red,ero tranquillo e contento e adesso questi ci fanno impazzire e ci prendono in giro ,red,contrapposizione,True,2,True
7,7,7,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,Descrizione,che mi ha permesso di fare qualche prova su mia capacita ,specificazione,J,Mix,"('yellow', 1, 1)",yellow,che mi ha permesso di fare qualche prova su mia capacita ,yellow,specificazione,True,2,True
8,8,8,Come ti descriveresti prima di entrare in carcere?,Descrizione,un bravo ragazzo ,descrizione,J,Mix,"('green', 0, 1)",green,un bravo ragazzo ,green,descrizione,True,2,True
9,9,9,"Secondo lei, quali altre iniziative
potrebbero facilitare l’integrazione fra la popolazione detenuta italiana e straniera?",Descrizione,si potrebbe offrire anche alle italiano di appendere qualche lingua straniera per potermi meglio comprendere ,possibilita,J,Mix,"('yellow', 2, 2)",yellow,si potrebbe offrire anche alle italiano di appendere qualche lingua straniera per potermi meglio comprendere ,yellow,possibilita,True,2,True
10,10,10,Immagini di essere stato trasferito in un nuovo Istituto di pena. Dopo alcuni giorni dal suo arrivo pensa: “la popolazione detenuta italiana e straniera di questo Istituto è integrata”. Che cosa le permette di pensarlo?,Descrizione,perche quando si va allarga guarda se le italiano e le straniere si parlano ,descrizione,J,Mix,"('green', 0, 1)",green,perche quando si va allarga guarda se le italiano e le straniere si parlano ,green,descrizione,True,2,True
11,11,11,Come si descriverebbe come persona straniera detenuta,Descrizione,marinata ,giudizio,J,Mix,"('red', 3, 1)",red,marinata ,red,giudizio,True,2,True
12,12,12,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un Istituto di pena, quali elementi prenderebbe in considerazione ?",Descrizione,la disciplina ali ordine rispetto umanitario ,sancire,J,Mix,"('red', 1, 0)",red,la disciplina ali ordine rispetto umanitario ,red,sancire,True,2,True
13,13,13,Come descriverebbe una persona che “gode di salute”?,Descrizione,salute può essere intesa come benessere fisico e benessere morale ,generalizzazione,J,Mix,"('red', 3, 1)",red,salute può essere intesa come benessere fisico e benessere morale ,red,generalizzazione,True,2,True
14,14,14,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un Istituto di pena, quali elementi prenderebbe in considerazione ?",Descrizione,pia tempo all aria aperta non solo quattro ore al giorno pia rispetto meno persone per cella ,giudizio,J,Mix,"('red', 3, 1)",red,pia tempo all aria aperta non solo quattro ore al giorno pia rispetto meno persone per cella ,red,giudizio,True,2,True
