,Unnamed: 0,Unnamed: 0.1,Question,QRep,Answer,Rep,Skill,Dataset,p,MacroCat,text,label,label2,is_valid,set_tag,is_test
0,0,0,Come descriverebbe una persona che “gode di salute”?,Descrizione,persona che mantiene un corretto e adeguato equilibri psicofisico ,giudizio,J,Mix,"('red', 3, 1)",red,persona che mantiene un corretto e adeguato equilibri psicofisico ,red,giudizio,False,0,False
1,1,1,"Secondo lei, quali altre iniziative
potrebbero facilitare l’integrazione fra la popolazione detenuta italiana e straniera?",Descrizione,operatori capaci di facilitare le incontro tra le due comunità detenute ,giudizio,J,Mix,"('red', 3, 1)",red,operatori capaci di facilitare le incontro tra le due comunità detenute ,red,giudizio,False,0,False
2,2,2,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un istituto di pena, quali elementi prenderebbe in considerazione",Descrizione,essendo nuovo dello ambiente che perlomeno per quello che ho potuto vedere funziona quasi tutto senza alcun tipo di problema ho chiamato e subito sono arrivati al primo problema fisico ,opinione,J,Mix,"('red', 5, 3)",red,essendo nuovo dello ambiente che perlomeno per quello che ho potuto vedere funziona quasi tutto senza alcun tipo di problema ho chiamato e subito sono arrivati al primo problema fisico ,red,opinione,False,0,False
3,3,3,"Se dovesse stabilire dei criteri per valutare la qualità di ciò che può offrire un Istituto di pena, quali elementi prenderebbe in considerazione ?",Descrizione,invece dei centrali installare telefoni pubblici nelle varie sezioni ,giudizio,J,Mix,"('red', 3, 1)",red,invece dei centrali installare telefoni pubblici nelle varie sezioni ,red,giudizio,False,0,False
4,4,4,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,Descrizione,prima distai tutto ha sbagliato omettendo questo reato ,sancire,J,Mix,"('red', 1, 0)",red,prima distai tutto ha sbagliato omettendo questo reato ,red,sancire,False,0,False
5,5,5,Immagini di essere stato trasferito in un nuovo Istituto di pena. Dopo alcuni giorni dal suo arrivo pensa: “la popolazione detenuta italiana e straniera di questo Istituto è integrata”. Che cosa le permette di pensarlo?,Descrizione,vivo pia sereno per dove sono ,non_risposta,J,Mix,"('red', 3, 1)",red,vivo pia sereno per dove sono ,red,non_risposta,True,1,False
6,6,6,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,Descrizione,sfortunato ,giudizio,J,Mix,"('red', 3, 1)",red,sfortunato ,red,giudizio,False,0,False
7,7,7,come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona detenuta?,Descrizione,brutta ,giudizio,J,Mix,"('red', 3, 1)",red,brutta ,red,giudizio,False,0,False
8,8,8,Come descriverebbe le opportunità di trattamento rieducativo a cui può accedere in quanto persona deternuta?,Descrizione,"positivissime, ",valutazione,J,Mix,"('yellow', 5, 5)",yellow,"positivissime, ",yellow,valutazione,False,0,False
9,9,9,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,Descrizione,io la descrivere come una persona ha mai avuto la no fortuna della sua parte ,sancire,J,Mix,"('red', 1, 0)",red,io la descrivere come una persona ha mai avuto la no fortuna della sua parte ,red,sancire,False,0,False
