,Question,Qrep,Answer,Rep,Skill,Dataset,p,MacroCat,text,label,label2,is_valid,set_tag,is_test,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
0,Come descriverebbe un trattamento efficace?,DESCRIZIONE,"un bello spazio con uffici per personale di trattamento, abbastanza 
collaborazione con centri o istituti o associazioni. all_esterno, possibilità 
di reinserimenti con cure eccetera eccetera e posibilità di",giudizio,S,RD,"('red', 3, 1)",red,"un bello spazio con uffici per personale di trattamento, abbastanza 
collaborazione con centri o istituti o associazioni. all_esterno, possibilità 
di reinserimenti con cure eccetera eccetera e posibilità di",red,giudizio,False,0,False,,,,,,
1,Come descriverebbe un trattamento efficace?,DESCRIZIONE,"assistenz_psichiatri 
assistenza_fisica c' è 
assistenza_sociale che manca",giudizio,S,RD,"('red', 3, 1)",red,"assistenz_psichiatri 
assistenza_fisica c' è 
assistenza_sociale che manca",red,giudizio,False,0,False,,,,,,
2,Come descriverebbe un trattamento efficace?,DESCRIZIONE,il trattamento più_efficace sarebbe di dare loro più tempo da occupare,prescrizione,S,RD,"('yellow', 4, 4)",yellow,il trattamento più_efficace sarebbe di dare loro più tempo da occupare,yellow,prescrizione,False,0,False,,,,,,
3,Come descriverebbe un trattamento efficace?,DESCRIZIONE,"come ad_esempio (lavoro, scuola, attività fisica, eccetera eccetera)",prescrizione,S,RD,"('yellow', 4, 4)",yellow,"come ad_esempio (lavoro, scuola, attività fisica, eccetera eccetera)",yellow,prescrizione,False,0,False,,,,,,
4,Come descriverebbe un trattamento efficace?,DESCRIZIONE,"un_trattamento quello di occupare la popolazione detenuta nel_lavoro 
interno o esterno alla_struttura",descrizione,S,RD,"('green', 0, 1)",green,"un_trattamento quello di occupare la popolazione detenuta nel_lavoro 
interno o esterno alla_struttura",green,descrizione,False,0,False,,,,,,
5,Come descriverebbe un trattamento efficace?,DESCRIZIONE,quello che tiene_conto della specificità della persona a_cui si rivolge,sancire,S,RD,"('red', 1, 0)",red,quello che tiene_conto della specificità della persona a_cui si rivolge,red,sancire,True,1,False,,,,,,
6,Come descriverebbe un trattamento efficace?,DESCRIZIONE,"impegnare il detenuto al lavoro per inserirlo nella_società. questo 
funziona solo con chi ha sbagliato ma non con chi ha l' indole a 
delinquere sempre
",contrapposizione,S,RD,"('red', 6, 4)",red,"impegnare il detenuto al lavoro per inserirlo nella_società. questo 
funziona solo con chi ha sbagliato ma non con chi ha l' indole a 
delinquere sempre
",red,contrapposizione,True,1,False,,,,,,
7,Come descriverebbe un trattamento efficace?,DESCRIZIONE,"possibilità, quindi avendo più strumenti e risorse, di avere_più colloqui con il detenuto per conoscerlo meglio, poter conoscere il suo ambiente di 
provenienza (attraverso la collaborazione con l' ambasciata e /o il servizio sociale internazionale eccetera eccetera) e poi poter attivare, dentro o fuori l' istituto, gli interventi più idonei",contrapposizione,S,RD,"('red', 6, 4)",red,"possibilità, quindi avendo più strumenti e risorse, di avere_più colloqui con il detenuto per conoscerlo meglio, poter conoscere il suo ambiente di 
provenienza (attraverso la collaborazione con l' ambasciata e /o il servizio sociale internazionale eccetera eccetera) e poi poter attivare, dentro o fuori l' istituto, gli interventi più idonei",red,contrapposizione,True,1,False,,,,,,
8,Come descriverebbe un trattamento efficace?,DESCRIZIONE,"in_grado_di rispondere_ai_bisogn primari dell' utente, di soddisfare le sue 
esigenze di reinserimento_social e di prevenire eventuali ricadute in 
comportamenti antisociali. 
",giudizio,S,RD,"('red', 3, 1)",red,"in_grado_di rispondere_ai_bisogn primari dell' utente, di soddisfare le sue 
esigenze di reinserimento_social e di prevenire eventuali ricadute in 
comportamenti antisociali. 
",red,giudizio,False,0,False,,,,,,
9,Come descriverebbe un trattamento efficace?,DESCRIZIONE,utile_per_la_popolaz detenuta,giudizio,S,RD,"('red', 3, 1)",red,utile_per_la_popolaz detenuta,red,giudizio,False,0,False,,,,,,
