,Question,Qrep,Answer,Rep,Skill,Dataset,p,MacroCat,text,label,label2,is_valid,set_tag,is_test
0,Come descriverebbe un trattamento efficace?,descrizione,"un bello spazio con uffici per personale di trattamento, abbastanza 
collaborazione con centri o istituti o associazioni. all_esterno, possibilità 
di reinserimenti con cure eccetera eccetera e posibilità di",giudizio,S,RD,"('red', 3, 1)",red,"un bello spazio con uffici per personale di trattamento, abbastanza 
collaborazione con centri o istituti o associazioni. all_esterno, possibilità 
di reinserimenti con cure eccetera eccetera e posibilità di",red,giudizio,False,0,False
1,Come descriverebbe un trattamento efficace?,descrizione,"assistenz_psichiatri 
assistenza_fisica c' è 
assistenza_sociale che manca",giudizio,S,RD,"('red', 3, 1)",red,"assistenz_psichiatri 
assistenza_fisica c' è 
assistenza_sociale che manca",red,giudizio,False,0,False
2,Come descriverebbe un trattamento efficace?,descrizione,il trattamento più_efficace sarebbe di dare loro più tempo da occupare,prescrizione,S,RD,"('yellow', 4, 4)",yellow,il trattamento più_efficace sarebbe di dare loro più tempo da occupare,yellow,prescrizione,False,0,False
3,Come descriverebbe un trattamento efficace?,descrizione,"come ad_esempio (lavoro, scuola, attività fisica, eccetera eccetera)",prescrizione,S,RD,"('yellow', 4, 4)",yellow,"come ad_esempio (lavoro, scuola, attività fisica, eccetera eccetera)",yellow,prescrizione,False,0,False
4,Come descriverebbe un trattamento efficace?,descrizione,"un_trattamento quello di occupare la popolazione detenuta nel_lavoro 
interno o esterno alla_struttura",descrizione,S,RD,"('green', 0, 1)",green,"un_trattamento quello di occupare la popolazione detenuta nel_lavoro 
interno o esterno alla_struttura",green,descrizione,False,0,False
5,Come descriverebbe un trattamento efficace?,descrizione,"quello_che_riesce a offrire_al_detenuto degli_strumenti conoscitivi, 
competenze e opportunità usufruibili nella vita esterna 
",riferimento all'obiettivo,S,RD,"('green', 5, 6)",green,"quello_che_riesce a offrire_al_detenuto degli_strumenti conoscitivi, 
competenze e opportunità usufruibili nella vita esterna 
",green,riferimento all'obiettivo,False,0,False
6,Come descriverebbe un trattamento efficace?,descrizione,quello che tiene_conto della specificità della persona a_cui si rivolge,sancire,S,RD,"('red', 1, 0)",red,quello che tiene_conto della specificità della persona a_cui si rivolge,red,sancire,True,1,False
7,Come descriverebbe un trattamento efficace?,descrizione,normalissimo,non risposta,S,RD,"('red', 3, 1)",red,normalissimo,red,non risposta,False,0,False
8,Come descriverebbe un trattamento efficace?,descrizione,"impegnare il detenuto al lavoro per inserirlo nella_società. questo 
funziona solo con chi ha sbagliato ma non con chi ha l' indole a 
delinquere sempre
",contrapposizione,S,RD,"('red', 6, 4)",red,"impegnare il detenuto al lavoro per inserirlo nella_società. questo 
funziona solo con chi ha sbagliato ma non con chi ha l' indole a 
delinquere sempre
",red,contrapposizione,True,1,False
9,Come descriverebbe un trattamento efficace?,descrizione,"possibilità, quindi avendo più strumenti e risorse, di avere_più colloqui con il detenuto per conoscerlo meglio, poter conoscere il suo ambiente di 
provenienza (attraverso la collaborazione con l' ambasciata e /o il servizio sociale internazionale eccetera eccetera) e poi poter attivare, dentro o fuori l' istituto, gli interventi più idonei",contrapposizione,S,RD,"('red', 6, 4)",red,"possibilità, quindi avendo più strumenti e risorse, di avere_più colloqui con il detenuto per conoscerlo meglio, poter conoscere il suo ambiente di 
provenienza (attraverso la collaborazione con l' ambasciata e /o il servizio sociale internazionale eccetera eccetera) e poi poter attivare, dentro o fuori l' istituto, gli interventi più idonei",red,contrapposizione,True,1,False
