,text,label2,p,label,is_valid,set_tag,is_test
0,In conclusione il sig. C. ha comunicato che si presenterà all'udienza del xx/xx/2010 con la s.v. ed ha richiesto (per l'ennesima volta) la documentazione mancante per portare a termine la domanda di assistenza domiciliare.,descrizione,"('green', 0, 1)",green,False,0.0,False
1,"In data xx. xx. 10 si rivolgono al Servizio Sociale, Carla e Duilio insieme alla sorella minore di Carla, riferiscono che Valeria il 17 novembre a casa di un'amica ha comunicato telefonicamente alla madre, che non intendeva fare ritorno in casa perché Duilio la ""tocca"" e ha paura di lui.",descrizione,"('green', 0, 1)",green,False,0.0,False
2,In data xx/xx/1999 si è presentata allo scrivente Servizio Sociale circoscrizionale la signora Stella accompagnata dal Sig. Mario (già assistito dal Servizio Sociale) per segnalare l'attuale disagio abitativo e il conseguente rischio di rimanere senza un alloggio dal mese di dicembre 1999. ,descrizione,"('green', 0, 1)",green,False,0.0,False
3,In funzione della gestione ospedaliera e delle indicazioni che seguirò dalla lettera.,descrizione,"('green', 0, 1)",green,False,0.0,False
4,"in genere sono lavori di volontariato con cooperative o altri in cui magari aiutano ragazzi immigrati, o situazioni a rischio, e nel frattempo frequentano qualche scuola di specializzazione",descrizione,"('green', 0, 1)",green,True,1.0,False
5,In casa vive anche la nonna materna. ,descrizione,"('green', 0, 1)",green,False,0.0,False
6,"Il sig. S. afferma di aver presentato istanza di affidamento dei nipoti al Tribunale dei Minori di Palermo, perché preoccupato che questi possano essere allontanati definitivamente dalla famiglia d'origine.",descrizione,"('green', 0, 1)",green,True,1.0,False
7,"Il sig. X. Michele è nato a XX il XX/XX/1992 ed è residente in via XX, nr. XX",descrizione,"('green', 0, 1)",green,False,0.0,False
8,Il signor Andrea è seguito da questo servizio dal 1993.,descrizione,"('green', 0, 1)",green,False,0.0,False
9,Il signor Guido conferma il suo sconforto e la frustrazione nel ricevere continui rifiuti dalla figlia.,descrizione,"('green', 0, 1)",green,False,0.0,False
10,Il signor P. Sandro ha concluso la scuola media ed ha frequentato un Istituto professionale conseguendo l'Attestato di Impiantista Elettrico. ,descrizione,"('green', 0, 1)",green,True,1.0,False
11,"il soggetto ha fatto presente che pur mantenendo la residenza ad xxx, da sei anni si è trasferito ad I. dove il padre con i fratelli ha costruito un immobile, ""Villa Francesca"", suddiviso in sei appartamenti, tutti occupati da membri del nucleo familiare allargato. ",descrizione,"('green', 0, 1)",green,True,1.0,False
12,Il soggetto ha riferito che mantiene rapporti con entrambi. ,descrizione,"('green', 0, 1)",green,True,1.0,False
13,"Il Soggetto, per un periodo superiore alle due settimane, manifesta un significativo cambiamento rispetto al suo funzionamento precedente. Sente dentro di sé un vuoto che lo rende triste, apatico, lamentoso. Questo stato può accompagnarsi a momenti di forte irritabilità. La persona si sente demotivata, non prova interesse o piacere nelle attività. Si sente incompreso. Il rapporto col sonno e il cibo appare alterato (mangia/dorme molto di più o molto meno del solito). Il soggetto mostra affaticamento, mancanza di energia, alterna stati di agitazione. Ha un forte senso di colpa, si autosvaluta, si attribuisce responsabilità esagerate per la situazione in cui si trova. Mostra una ridotta capacità di concentrazione. Sono presenti pensieri suicidari e idee di morte.",descrizione,"('green', 0, 1)",green,False,0.0,False
14,"Il sig. Roberto nato a …. il xx/xx/1941, residente in Via ………, ",descrizione,"('green', 0, 1)",green,False,0.0,False
15,"In merito il soggetto ha riferito di risultare come collaboratore familiare,",descrizione,"('green', 0, 1)",green,False,0.0,False
16,"Incremento vie ciclabili, creazione di un sistema integrato per la mobilità sostenibile e condivisa",descrizione,"('green', 0, 1)",green,False,0.0,False
17,"Incosciente,",descrizione,"('green', 0, 1)",green,False,0.0,False
18,in quanto l'AIDS come noto è una sindrome e non una malattia ,descrizione,"('green', 0, 1)",green,False,0.0,False
19,"In quanto tecnico della riabilitazione psichiatrica il mio obiettivo è l'osservazione del paziente per individuarne risorse, abilità, fragilità. Mantenere i contatti con i servizi territoriali e le figure significative e organizzare periodici momenti di condivisione per definire assieme un progetto riabilitativo adatto al paziente;",descrizione,"('green', 0, 1)",green,True,1.0,False
20,"In quel periodo, il T.M. aveva disposto il rientro definitivo nel nucleo dei piccoli D. e J. ",descrizione,"('green', 0, 1)",green,True,1.0,False
21,"In questa data viene raccontato alla scrivente i festeggiamenti e i regali ricevuti per il compleanno, quello della bicicletta donato dal papà e i pattini dalla mamma. ",descrizione,"('green', 0, 1)",green,True,1.0,False
22,"In riferimento alla richiesta di Codesto Tribunale Ordinario di Roma di ""trasmettere una relazione dei Servizi Sociali in ordine alla condizione delle tre figlie minori delle parti, ai rapporti di ciascun genitore formulando la proposta sulle modalità di affidamento più idonee nell’interesse delle figlie minori"" 
ed alla richiesta del Tribunale Per i Minorenni di Roma di svolgere ""accertamento sulla situazione delle minori e dei genitori"" 
",descrizione,"('green', 0, 1)",green,False,0.0,False
23,In tale occasione si è chiarito ai genitori il ruolo del servizio affidatario e l'incarico che è stato disposto dal TM di svolgere l'indagine sulle loro capacità genitoriali.,descrizione,"('green', 0, 1)",green,False,0.0,False
24,"In tutto questo periodo mi sono informato su tutto e vedo i problemi che ci sono. Le vitamine, il ferro, poi andare incontro a decalcificazione ossea e dunque non sarò in grado di fare tutti lavori che facevo prima.",descrizione,"('green', 0, 1)",green,False,0.0,False
