,Unnamed: 0,Question,Qrep,Answer,Rep,Skill,Dataset,p,MacroCat,text,label,label2
0,0,"Come descriverebbe il suo lavoro? Ovvero, che obiettivo persegue all’interno dell’organizzazione?",descrizione,"L’obiettivo del servizio è quello di occuparsi sia della presa in carico, sia della cura del paziente psichiatrico autore di reato",descrizione,J,AG,"('green', 0, 1)",green,"L’obiettivo del servizio è quello di occuparsi sia della presa in carico, sia della cura del paziente psichiatrico autore di reato",green,descrizione
2,2,"Come descriverebbe il suo lavoro? Ovvero, che obiettivo persegue all’interno dell’organizzazione?",descrizione,"Stabilizzazione del quadro psicopatologico del paziente autore di reato e riduzione della pericolosità sociale,",descrizione,J,AG,"('green', 0, 1)",green,"Stabilizzazione del quadro psicopatologico del paziente autore di reato e riduzione della pericolosità sociale,",green,descrizione
11,11,"Come descriverebbe il suo lavoro? Ovvero, che obiettivo persegue all’interno dell’organizzazione?",descrizione,"L’obiettivo del servizio è la presa in carico, la cura e la riabilitazione del paziente psichiatrico autore di reato.",descrizione,J,AG,"('green', 0, 1)",green,"L’obiettivo del servizio è la presa in carico, la cura e la riabilitazione del paziente psichiatrico autore di reato.",green,descrizione
13,13,"Come descriverebbe il suo lavoro? Ovvero, che obiettivo persegue all’interno dell’organizzazione?",descrizione,L’obiettivo del servizio erogato dalla figura dello psicologo in REMS che lavora insieme ad un'equipe multidisciplinare è quello della presa in carico del paziente psichiatrico autore di reato.,descrizione,J,AG,"('green', 0, 1)",green,L’obiettivo del servizio erogato dalla figura dello psicologo in REMS che lavora insieme ad un'equipe multidisciplinare è quello della presa in carico del paziente psichiatrico autore di reato.,green,descrizione
18,18,"Come descriverebbe il suo lavoro? Ovvero, che obiettivo persegue all’interno dell’organizzazione?",descrizione,Interviene anche nell’approfondimento del reato commesso e dell’elaborazione degli eventi. ,descrizione,J,AG,"('green', 0, 1)",green,Interviene anche nell’approfondimento del reato commesso e dell’elaborazione degli eventi. ,green,descrizione
21,21,"Come descriverebbe il suo lavoro? Ovvero, che obiettivo persegue all’interno dell’organizzazione?",descrizione,Svolgere un lavoro volto alla rielaborazione del reato commesso e delle dinamiche ad esso associate. ​,descrizione,J,AG,"('green', 0, 1)",green,Svolgere un lavoro volto alla rielaborazione del reato commesso e delle dinamiche ad esso associate. ​,green,descrizione
22,22,"Come descriverebbe il suo lavoro? Ovvero, che obiettivo persegue all’interno dell’organizzazione?",descrizione,"Trattamento psicologico e psicoterapeutico dei pazienti, all’interno di una presa in carico multidisciplinare del paziente autore di reato. Collaborazione con l’équipe per la comprensione e la gestione dei comportamenti dei pazienti. Obiettivo volto alla rielaborazione del reato commesso e delle dinamiche ad esso associate.",descrizione,J,AG,"('green', 0, 1)",green,"Trattamento psicologico e psicoterapeutico dei pazienti, all’interno di una presa in carico multidisciplinare del paziente autore di reato. Collaborazione con l’équipe per la comprensione e la gestione dei comportamenti dei pazienti. Obiettivo volto alla rielaborazione del reato commesso e delle dinamiche ad esso associate.",green,descrizione
28,28,"Come descriverebbe il suo lavoro? Ovvero, che obiettivo persegue all’interno dell’organizzazione?",descrizione," Infine un lavoro di mediazione e progettazione con i Servizi territoriali (CPS, SERD) e la Magistrura.",descrizione,J,AG,"('green', 0, 1)",green," Infine un lavoro di mediazione e progettazione con i Servizi territoriali (CPS, SERD) e la Magistrura.",green,descrizione
29,29,"Come descriverebbe il suo lavoro? Ovvero, che obiettivo persegue all’interno dell’organizzazione?",descrizione,"L'obiettivo perseguito all'interno dell'organizzazione vuole essere un contributo che tiene conto, nell'ottica della complessità, del vertice psicologico nel trattamento multidisciplinare dei pazienti. Inoltre si supporta l'equipe nella lettura dei processi e delle dinamiche connesse alle difficoltà psichiche dei pazienti autori di reato fornendo strumenti di comprensione dei comportamenti disadattivi. Insieme al paziente si svolge un lavoro volto alla rielaborazione del reato commesso, delle dinamiche ad esso associate e alla sostituzione di comportamenti inefficaci e disfunzionali con comportamenti efficaci e funzionali.",descrizione,J,AG,"('green', 0, 1)",green,"L'obiettivo perseguito all'interno dell'organizzazione vuole essere un contributo che tiene conto, nell'ottica della complessità, del vertice psicologico nel trattamento multidisciplinare dei pazienti. Inoltre si supporta l'equipe nella lettura dei processi e delle dinamiche connesse alle difficoltà psichiche dei pazienti autori di reato fornendo strumenti di comprensione dei comportamenti disadattivi. Insieme al paziente si svolge un lavoro volto alla rielaborazione del reato commesso, delle dinamiche ad esso associate e alla sostituzione di comportamenti inefficaci e disfunzionali con comportamenti efficaci e funzionali.",green,descrizione
30,30,"Come descriverebbe il suo lavoro? Ovvero, che obiettivo persegue all’interno dell’organizzazione?",descrizione,Il ruolo che svolgo è quello di organizzare insieme con i colleghi le attività della giornata e la programmazione degli interventi.,descrizione,J,AG,"('green', 0, 1)",green,Il ruolo che svolgo è quello di organizzare insieme con i colleghi le attività della giornata e la programmazione degli interventi.,green,descrizione
