0,0,"Come descriverebbe il suo lavoro? Ovvero, che obiettivo persegue all’interno dell’organizzazione?",descrizione,"L’obiettivo del servizio è quello di occuparsi sia della presa in carico, sia della cura del paziente psichiatrico autore di reato",descrizione,J,AG,"('green', 0, 1)",green,"L’obiettivo del servizio è quello di occuparsi sia della presa in carico, sia della cura del paziente psichiatrico autore di reato",green,descrizione
1,1,"Come descriverebbe il suo lavoro? Ovvero, che obiettivo persegue all’interno dell’organizzazione?",descrizione,"Sono necessari diversi passaggi: in primis la stabilizzazione del quadro psicopatologico, successivamente si effettua un’approfondita valutazione psicodiagnostica in ingresso volta a valutare sia l’aspetto intellettivo/cognitivo, sia l’aspetto di personalità. Viene poi impostato un programma di cura e trattamento, finalizzato alla riduzione e modificazione di comportamenti disfunzionali, nonché l’analisi e la rielaborazione del reato commesso.",specificazione,J,AG,"('yellow', 1, 1)",yellow,"Sono necessari diversi passaggi: in primis la stabilizzazione del quadro psicopatologico, successivamente si effettua un’approfondita valutazione psicodiagnostica in ingresso volta a valutare sia l’aspetto intellettivo/cognitivo, sia l’aspetto di personalità. Viene poi impostato un programma di cura e trattamento, finalizzato alla riduzione e modificazione di comportamenti disfunzionali, nonché l’analisi e la rielaborazione del reato commesso.",yellow,specificazione
2,2,"Come descriverebbe il suo lavoro? Ovvero, che obiettivo persegue all’interno dell’organizzazione?",descrizione,"Stabilizzazione del quadro psicopatologico del paziente autore di reato e riduzione della pericolosità sociale,",descrizione,J,AG,"('green', 0, 1)",green,"Stabilizzazione del quadro psicopatologico del paziente autore di reato e riduzione della pericolosità sociale,",green,descrizione
3,3,"Come descriverebbe il suo lavoro? Ovvero, che obiettivo persegue all’interno dell’organizzazione?",descrizione,con il fine di introdurre o reintrodurre la persona nei percorsi di cura offerti dal territorio.,riferimento_obiettivo,J,AG,"('green', 5, 6)",green,con il fine di introdurre o reintrodurre la persona nei percorsi di cura offerti dal territorio.,green,riferimento_obiettivo
4,4,"Come descriverebbe il suo lavoro? Ovvero, che obiettivo persegue all’interno dell’organizzazione?",descrizione,L’obiettivo del servizio è la presa in carico e la cura del paziente psichiatrico autore di reato (secondo le disposizioni dell’attuale legislazione),considerazione,J,AG,"('green', 3, 5)",green,L’obiettivo del servizio è la presa in carico e la cura del paziente psichiatrico autore di reato (secondo le disposizioni dell’attuale legislazione),green,considerazione
5,5,"Come descriverebbe il suo lavoro? Ovvero, che obiettivo persegue all’interno dell’organizzazione?",descrizione,"attraverso vari momenti, tra i quali: la stabilizzazione del quadro psicopatologico, la valutazione psicodiagnostica in ingresso e l’impostazione e la realizzazione del programma di cura e trattamento, che comprende la riduzione dei comportamenti disfunzionali, la rielaborazione del reato commesso il contatto con i servizi territoriali psichiatrici competenti ed il reinserimento nel territorio.",specificazione,J,AG,"('yellow', 1, 1)",yellow,"attraverso vari momenti, tra i quali: la stabilizzazione del quadro psicopatologico, la valutazione psicodiagnostica in ingresso e l’impostazione e la realizzazione del programma di cura e trattamento, che comprende la riduzione dei comportamenti disfunzionali, la rielaborazione del reato commesso il contatto con i servizi territoriali psichiatrici competenti ed il reinserimento nel territorio.",yellow,specificazione
6,6,"Come descriverebbe il suo lavoro? Ovvero, che obiettivo persegue all’interno dell’organizzazione?",descrizione,"Il servizio erogato nelle REMS si pone diversi obiettivi a seconda della fase del percorso trattamentale del paziente (stabilizzazione, valutazione, diagnosi, trattamento, dimissione).",generalizzazione,J,AG,"('red', 3, 1)",red,"Il servizio erogato nelle REMS si pone diversi obiettivi a seconda della fase del percorso trattamentale del paziente (stabilizzazione, valutazione, diagnosi, trattamento, dimissione).",red,generalizzazione
7,7,"Come descriverebbe il suo lavoro? Ovvero, che obiettivo persegue all’interno dell’organizzazione?",descrizione,"L’obiettivo generale è di miglioramento del quadro psicopatologico,",sancire,J,AG,"('red', 1, 0)",red,"L’obiettivo generale è di miglioramento del quadro psicopatologico,",red,sancire
8,8,"Come descriverebbe il suo lavoro? Ovvero, che obiettivo persegue all’interno dell’organizzazione?",descrizione,"sia dal punto di vista comportamentale (riduzione di agiti aggressivi o violenti) sia dell’insight riguardo a psicopatologia e reato commesso,",specificazione,J,AG,"('yellow', 1, 1)",yellow,"sia dal punto di vista comportamentale (riduzione di agiti aggressivi o violenti) sia dell’insight riguardo a psicopatologia e reato commesso,",yellow,specificazione
9,9,"Come descriverebbe il suo lavoro? Ovvero, che obiettivo persegue all’interno dell’organizzazione?",descrizione,al fine di permettere al Magistrato di esprimersi in merito ad una riduzione o alla revoca della pericolosità sociale.,implicazione,J,AG,"('red', 9, 7)",red,al fine di permettere al Magistrato di esprimersi in merito ad una riduzione o alla revoca della pericolosità sociale.,red,implicazione
10,10,"Come descriverebbe il suo lavoro? Ovvero, che obiettivo persegue all’interno dell’organizzazione?",descrizione,"La definizione degli obiettivi condizionata dalla gravità psicopatologica, dalla compromissione cognitiva o/e da quella personologica. ",specificazione,J,AG,"('yellow', 1, 1)",yellow,"La definizione degli obiettivi condizionata dalla gravità psicopatologica, dalla compromissione cognitiva o/e da quella personologica. ",yellow,specificazione
11,11,"Come descriverebbe il suo lavoro? Ovvero, che obiettivo persegue all’interno dell’organizzazione?",descrizione,"L’obiettivo del servizio è la presa in carico, la cura e la riabilitazione del paziente psichiatrico autore di reato.",descrizione,J,AG,"('green', 0, 1)",green,"L’obiettivo del servizio è la presa in carico, la cura e la riabilitazione del paziente psichiatrico autore di reato.",green,descrizione
12,12,"Come descriverebbe il suo lavoro? Ovvero, che obiettivo persegue all’interno dell’organizzazione?",descrizione,"Come da normativa, infatti, la persona autrice di reato se non imputabile per vizio totale o parziale di mente viene inviata in REMS al fine di incidere, mediante il progetto di cura, sulla riduzione della pericolosità sociale.",conferma,J,AG,"('red', 2, 1)",red,"Come da normativa, infatti, la persona autrice di reato se non imputabile per vizio totale o parziale di mente viene inviata in REMS al fine di incidere, mediante il progetto di cura, sulla riduzione della pericolosità sociale.",red,conferma
13,13,"Come descriverebbe il suo lavoro? Ovvero, che obiettivo persegue all’interno dell’organizzazione?",descrizione,L’obiettivo del servizio erogato dalla figura dello psicologo in REMS che lavora insieme ad un'equipe multidisciplinare è quello della presa in carico del paziente psichiatrico autore di reato.,descrizione,J,AG,"('green', 0, 1)",green,L’obiettivo del servizio erogato dalla figura dello psicologo in REMS che lavora insieme ad un'equipe multidisciplinare è quello della presa in carico del paziente psichiatrico autore di reato.,green,descrizione
